,date,nums,increment,ratio
0,2018-03,3,2,2.0
1,2017-12,1,-3,-0.75
2,2017-10,4,3,3.0
3,2017-09,1,0,0.0
4,2017-02,1,0,0.0
5,2017-01,1,0,0.0
6,2016-12,1,0,0.0
7,2016-10,1,-3,-0.75
8,2016-09,4,-4,-0.5
9,2016-08,8,3,0.6
10,2016-07,5,-10,-0.666666666667
11,2016-06,15,14,14.0
12,2016-05,1,-1,-0.5
13,2016-04,2,-1,-0.333333333333
14,2016-03,3,1,0.5
15,2016-01,2,-2,-0.5
16,2015-12,4,3,3.0
17,2015-11,1,-2,-0.666666666667
18,2015-10,3,2,2.0
19,2015-08,1,-16,-0.941176470588
20,2015-07,17,16,16.0
21,2015-05,1,0,0.0
22,2015-04,1,0,0.0
23,2015-03,1,-5,-0.833333333333
24,2014-10,6,5,5.0
25,2014-09,1,-2,-0.666666666667
26,2014-07,3,1,0.5
27,2014-06,2,1,1.0
28,2014-03,1,0,0.0
29,2014-02,1,-9,-0.9
30,2014-01,10,7,2.33333333333
31,2013-12,3,2,2.0
32,2013-10,1,-1,-0.5
33,2013-05,2,1,1.0
34,2013-04,1,-2,-0.666666666667
35,2013-03,3,-1,-0.25
36,2013-02,4,2,1.0
37,2012-11,2,-7,-0.777777777778
38,2012-08,9,6,2.0
39,2012-07,3,1,0.5
40,2012-06,2,1,1.0
41,2012-04,1,-1,-0.5
42,2012-02,2,0,0.0
43,2011-09,2,0,0.0
44,2011-04,2,1,1.0
45,2011-02,1,0,0.0
46,2010-11,1,0,0.0
47,2010-10,1,0,0.0
48,2010-09,1,-3,-0.75
49,2010-08,4,2,1.0
50,2010-07,2,-1,-0.333333333333
51,2010-06,3,-2,-0.4
52,2010-05,5,3,1.5
53,2010-03,2,-3,-0.6
54,2009-12,5,3,1.5
55,2009-09,2,0,0.0
