,date,nums,increment,ratio
0,2018-04,10,-10,-0.5
1,2018-03,20,1,0.0526315789474
2,2018-02,19,4,0.266666666667
3,2018-01,15,-21,-0.583333333333
4,2017-12,36,11,0.44
5,2017-11,25,16,1.77777777778
6,2017-10,9,-12,-0.571428571429
7,2017-09,21,3,0.166666666667
8,2017-08,18,-16,-0.470588235294
9,2017-07,34,25,2.77777777778
10,2017-06,9,-5,-0.357142857143
11,2017-05,14,-26,-0.65
12,2017-04,40,12,0.428571428571
13,2017-03,28,27,27.0
14,2017-02,1,-11,-0.916666666667
15,2017-01,12,-79,-0.868131868132
16,2016-12,91,-13,-0.125
17,2016-11,104,-66,-0.388235294118
18,2016-10,170,130,3.25
19,2016-09,40,-31,-0.43661971831
20,2016-08,71,-3,-0.0405405405405
21,2016-07,74,-63,-0.459854014599
22,2016-06,137,102,2.91428571429
23,2016-05,35,-72,-0.672897196262
24,2016-04,107,-12,-0.100840336134
25,2016-03,119,68,1.33333333333
26,2016-02,51,-11,-0.177419354839
27,2016-01,62,-24,-0.279069767442
28,2015-12,86,2,0.0238095238095
29,2015-11,84,-59,-0.412587412587
30,2015-10,143,91,1.75
31,2015-09,52,-1,-0.0188679245283
32,2015-08,53,7,0.152173913043
33,2015-07,46,13,0.393939393939
34,2015-06,33,8,0.32
35,2015-05,25,-11,-0.305555555556
36,2015-04,36,9,0.333333333333
37,2015-03,27,-3,-0.1
38,2015-02,30,20,2.0
39,2015-01,10,-17,-0.62962962963
40,2014-12,27,-18,-0.4
41,2014-11,45,-24,-0.347826086957
42,2014-10,69,33,0.916666666667
43,2014-09,36,-14,-0.28
44,2014-08,50,12,0.315789473684
45,2014-07,38,-2,-0.05
46,2014-06,40,-74,-0.649122807018
47,2014-05,114,47,0.701492537313
48,2014-04,67,-29,-0.302083333333
49,2014-03,96,-14,-0.127272727273
50,2014-02,110,-10,-0.0833333333333
51,2014-01,120,-1,-0.00826446280992
52,2013-12,121,-164,-0.575438596491
53,2013-11,285,73,0.344339622642
54,2013-10,212,66,0.452054794521
55,2013-09,146,57,0.640449438202
56,2013-08,89,7,0.0853658536585
57,2013-07,82,-52,-0.388059701493
58,2013-06,134,-14,-0.0945945945946
59,2013-05,148,0,0.0
60,2013-04,148,0,0.0
61,2013-03,148,65,0.78313253012
62,2013-02,83,26,0.456140350877
63,2013-01,57,26,0.838709677419
64,2012-12,31,-105,-0.772058823529
65,2012-11,136,39,0.40206185567
66,2012-10,97,-62,-0.389937106918
67,2012-09,159,-42,-0.208955223881
68,2012-08,201,-83,-0.292253521127
69,2012-07,284,-12,-0.0405405405405
70,2012-06,296,159,1.16058394161
71,2012-05,137,-24,-0.149068322981
72,2012-04,161,57,0.548076923077
73,2012-03,104,-13,-0.111111111111
74,2012-02,117,69,1.4375
75,2012-01,48,-69,-0.589743589744
76,2011-12,117,-33,-0.22
77,2011-11,150,92,1.58620689655
78,2011-10,58,-48,-0.452830188679
79,2011-09,106,43,0.68253968254
80,2011-08,63,17,0.369565217391
81,2011-07,46,-20,-0.30303030303
82,2011-06,66,58,7.25
83,2011-05,8,-98,-0.924528301887
84,2011-04,106,16,0.177777777778
85,2011-03,90,-35,-0.28
86,2011-02,125,-29,-0.188311688312
87,2011-01,154,29,0.232
88,2010-12,125,42,0.506024096386
89,2010-11,83,-212,-0.718644067797
90,2010-10,295,71,0.316964285714
91,2010-09,224,84,0.6
92,2010-08,140,-12,-0.0789473684211
93,2010-07,152,-47,-0.236180904523
94,2010-06,199,-19,-0.0871559633028
95,2010-05,218,200,11.1111111111
96,2010-04,18,-83,-0.821782178218
97,2010-03,101,-35,-0.257352941176
98,2010-02,136,2,0.0149253731343
99,2010-01,134,-42,-0.238636363636
100,2009-12,176,-69,-0.281632653061
101,2009-11,245,219,8.42307692308
102,2009-10,26,-82,-0.759259259259
103,2009-09,108,-32,-0.228571428571
104,2009-08,140,38,0.372549019608
105,2009-07,102,-276,-0.730158730159
106,2009-06,378,223,1.43870967742
107,2009-05,155,83,1.15277777778
108,2009-04,72,0,0.0
