,date,nums,increment,ratio
0,2018-04,39,-21,-0.35
1,2018-03,60,2,0.0344827586207
2,2018-02,58,-1,-0.0169491525424
3,2018-01,59,11,0.229166666667
4,2017-12,48,-7,-0.127272727273
5,2017-11,55,8,0.170212765957
6,2017-10,47,-13,-0.216666666667
7,2017-09,60,4,0.0714285714286
8,2017-08,56,11,0.244444444444
9,2017-07,45,-7,-0.134615384615
10,2017-06,52,9,0.209302325581
11,2017-05,43,-6,-0.122448979592
12,2017-04,49,-9,-0.155172413793
13,2017-03,58,16,0.380952380952
14,2017-02,42,1,0.0243902439024
15,2017-01,41,-17,-0.293103448276
16,2016-12,58,1,0.0175438596491
17,2016-11,57,25,0.78125
18,2016-10,32,-1,-0.030303030303
19,2016-09,33,-3,-0.0833333333333
20,2016-08,36,0,0.0
21,2016-07,36,6,0.2
22,2016-06,30,-6,-0.166666666667
23,2016-05,36,-3,-0.0769230769231
24,2016-04,39,-1,-0.025
25,2016-03,40,17,0.739130434783
26,2016-02,23,-18,-0.439024390244
27,2016-01,41,7,0.205882352941
28,2015-12,34,4,0.133333333333
29,2015-11,30,-12,-0.285714285714
30,2015-10,42,-1,-0.0232558139535
31,2015-09,43,7,0.194444444444
32,2015-08,36,-4,-0.1
33,2015-07,40,7,0.212121212121
34,2015-06,33,6,0.222222222222
35,2015-05,27,-4,-0.129032258065
36,2015-04,31,11,0.55
37,2015-03,20,-2,-0.0909090909091
38,2015-02,22,0,0.0
39,2015-01,22,-12,-0.352941176471
40,2014-12,34,12,0.545454545455
41,2014-11,22,1,0.047619047619
42,2014-10,21,-10,-0.322580645161
43,2014-09,31,0,0.0
44,2014-08,31,8,0.347826086957
45,2014-07,23,-2,-0.08
46,2014-06,25,6,0.315789473684
47,2014-05,19,-14,-0.424242424242
48,2014-04,33,7,0.269230769231
49,2014-03,26,-5,-0.161290322581
50,2014-02,31,19,1.58333333333
51,2014-01,12,-13,-0.52
52,2013-12,25,-6,-0.193548387097
53,2013-11,31,8,0.347826086957
54,2013-10,23,-1,-0.0416666666667
55,2013-09,24,4,0.2
56,2013-08,20,-2,-0.0909090909091
57,2013-07,22,-11,-0.333333333333
58,2013-06,33,15,0.833333333333
59,2013-05,18,3,0.2
60,2013-04,15,-7,-0.318181818182
61,2013-03,22,-1,-0.0434782608696
62,2013-02,23,3,0.15
63,2013-01,20,7,0.538461538462
64,2012-12,13,-2,-0.133333333333
65,2012-11,15,0,0.0
66,2012-10,15,3,0.25
67,2012-09,12,2,0.2
68,2012-08,10,-10,-0.5
69,2012-07,20,2,0.111111111111
70,2012-06,18,3,0.2
71,2012-05,15,7,0.875
72,2012-04,8,-2,-0.2
73,2012-03,10,3,0.428571428571
74,2012-02,7,-3,-0.3
75,2012-01,10,4,0.666666666667
76,2011-12,6,-10,-0.625
77,2011-11,16,10,1.66666666667
78,2011-10,6,0,0.0
79,2011-09,6,-3,-0.333333333333
80,2011-08,9,6,2.0
81,2011-07,3,1,0.5
82,2011-06,2,-4,-0.666666666667
83,2011-05,6,3,1.0
84,2011-04,3,-5,-0.625
85,2011-03,8,4,1.0
86,2011-02,4,3,3.0
87,2011-01,1,-5,-0.833333333333
88,2010-12,6,1,0.2
89,2010-11,5,1,0.25
90,2010-10,4,-1,-0.2
91,2010-09,5,0,0.0
92,2010-08,5,-1,-0.166666666667
93,2010-07,6,4,2.0
94,2010-06,2,1,1.0
95,2010-05,1,0,0.0
96,2010-04,1,-2,-0.666666666667
97,2010-03,3,-2,-0.4
98,2010-02,5,4,4.0
99,2010-01,1,-3,-0.75
100,2009-12,4,3,3.0
101,2009-11,1,-2,-0.666666666667
102,2009-10,3,1,0.5
103,2009-09,2,0,0.0
104,2009-08,2,-3,-0.6
105,2009-06,5,0,0.0
