,date,nums,increment,ratio
0,2018-05,7,-52,-0.881355932203
1,2018-04,59,-9,-0.132352941176
2,2018-03,68,16,0.307692307692
3,2018-02,52,8,0.181818181818
4,2018-01,44,-11,-0.2
5,2017-12,55,-5,-0.0833333333333
6,2017-11,60,11,0.224489795918
7,2017-10,49,-12,-0.196721311475
8,2017-09,61,-8,-0.115942028986
9,2017-08,69,10,0.169491525424
10,2017-07,59,4,0.0727272727273
11,2017-06,55,-3,-0.051724137931
12,2017-05,58,6,0.115384615385
13,2017-04,52,-27,-0.341772151899
14,2017-03,79,11,0.161764705882
15,2017-02,68,-4,-0.0555555555556
16,2017-01,72,-27,-0.272727272727
17,2016-12,99,-4,-0.0388349514563
18,2016-11,103,60,1.39534883721
19,2016-10,43,-20,-0.31746031746
20,2016-09,63,-11,-0.148648648649
21,2016-08,74,9,0.138461538462
22,2016-07,65,9,0.160714285714
23,2016-06,56,16,0.4
24,2016-05,40,-9,-0.183673469388
25,2016-04,49,-8,-0.140350877193
26,2016-03,57,5,0.0961538461538
27,2016-02,52,2,0.04
28,2016-01,50,10,0.25
29,2015-12,40,1,0.025641025641
30,2015-11,39,-30,-0.434782608696
31,2015-10,69,33,0.916666666667
32,2015-09,36,-22,-0.379310344828
33,2015-08,58,2,0.0357142857143
34,2015-07,56,10,0.217391304348
35,2015-06,46,11,0.314285714286
36,2015-05,35,-8,-0.186046511628
37,2015-04,43,8,0.228571428571
38,2015-03,35,-13,-0.270833333333
39,2015-02,48,10,0.263157894737
40,2015-01,38,-6,-0.136363636364
41,2014-12,44,2,0.047619047619
42,2014-11,42,-16,-0.275862068966
43,2014-10,58,-9,-0.134328358209
44,2014-09,67,19,0.395833333333
45,2014-08,48,-15,-0.238095238095
46,2014-07,63,12,0.235294117647
47,2014-06,51,6,0.133333333333
48,2014-05,45,-29,-0.391891891892
49,2014-04,74,26,0.541666666667
50,2014-03,48,-10,-0.172413793103
51,2014-02,58,-17,-0.226666666667
52,2014-01,75,20,0.363636363636
53,2013-12,55,-40,-0.421052631579
54,2013-11,95,40,0.727272727273
55,2013-10,55,26,0.896551724138
56,2013-09,29,-7,-0.194444444444
57,2013-08,36,-14,-0.28
58,2013-07,50,3,0.063829787234
59,2013-06,47,-15,-0.241935483871
60,2013-05,62,-2,-0.03125
61,2013-04,64,10,0.185185185185
62,2013-03,54,11,0.255813953488
63,2013-02,43,10,0.30303030303
64,2013-01,33,-1,-0.0294117647059
65,2012-12,34,-21,-0.381818181818
66,2012-11,55,17,0.447368421053
67,2012-10,38,-19,-0.333333333333
68,2012-09,57,-5,-0.0806451612903
69,2012-08,62,-5,-0.0746268656716
70,2012-07,67,-57,-0.459677419355
71,2012-06,124,93,3.0
72,2012-05,31,14,0.823529411765
73,2012-04,17,-12,-0.413793103448
74,2012-03,29,3,0.115384615385
75,2012-02,26,6,0.3
76,2012-01,20,-5,-0.2
77,2011-12,25,-17,-0.404761904762
78,2011-11,42,22,1.1
79,2011-10,20,-13,-0.393939393939
80,2011-09,33,10,0.434782608696
81,2011-08,23,9,0.642857142857
82,2011-07,14,-5,-0.263157894737
83,2011-06,19,5,0.357142857143
84,2011-05,14,-8,-0.363636363636
85,2011-04,22,-3,-0.12
86,2011-03,25,-13,-0.342105263158
87,2011-02,38,23,1.53333333333
88,2011-01,15,-13,-0.464285714286
89,2010-12,28,0,0.0
90,2010-11,28,-2,-0.0666666666667
91,2010-10,30,5,0.2
92,2010-09,25,11,0.785714285714
93,2010-08,14,-11,-0.44
94,2010-07,25,9,0.5625
95,2010-06,16,-11,-0.407407407407
96,2010-05,27,16,1.45454545455
97,2010-04,11,3,0.375
98,2010-03,8,-2,-0.2
99,2010-02,10,4,0.666666666667
100,2010-01,6,-6,-0.5
101,2009-12,12,2,0.2
102,2009-11,10,7,2.33333333333
103,2009-10,3,-1,-0.25
104,2009-09,4,-6,-0.6
105,2009-08,10,8,4.0
106,2009-07,2,-19,-0.904761904762
107,2009-06,21,0,0.0
