,date,nums,increment,ratio
0,2018-04,13,10,3.33333333333
1,2018-03,3,-2,-0.4
2,2018-02,5,3,1.5
3,2018-01,2,1,1.0
4,2017-12,1,-24,-0.96
5,2017-11,25,20,4.0
6,2017-10,5,-1,-0.166666666667
7,2017-09,6,-3,-0.333333333333
8,2017-08,9,6,2.0
9,2017-07,3,2,2.0
10,2017-06,1,-22,-0.95652173913
11,2017-05,23,6,0.352941176471
12,2017-04,17,-20,-0.540540540541
13,2017-03,37,31,5.16666666667
14,2017-02,6,-12,-0.666666666667
15,2017-01,18,16,8.0
16,2016-12,2,1,1.0
17,2016-11,1,-11,-0.916666666667
18,2016-10,12,2,0.2
19,2016-09,10,-10,-0.5
20,2016-08,20,4,0.25
21,2016-07,16,-2,-0.111111111111
22,2016-06,18,-3,-0.142857142857
23,2016-05,21,-10,-0.322580645161
24,2016-04,31,4,0.148148148148
25,2016-03,27,-39,-0.590909090909
26,2016-02,66,16,0.32
27,2016-01,50,23,0.851851851852
28,2015-12,27,-1,-0.0357142857143
29,2015-11,28,-25,-0.471698113208
30,2015-10,53,8,0.177777777778
31,2015-09,45,-35,-0.4375
32,2015-08,80,14,0.212121212121
33,2015-07,66,-62,-0.484375
34,2015-06,128,86,2.04761904762
35,2015-05,42,1,0.0243902439024
36,2015-04,41,-40,-0.493827160494
37,2015-03,81,29,0.557692307692
38,2015-02,52,-12,-0.1875
39,2015-01,64,19,0.422222222222
40,2014-12,45,-5,-0.1
41,2014-11,50,-12,-0.193548387097
42,2014-10,62,-25,-0.287356321839
43,2014-09,87,-9,-0.09375
44,2014-08,96,53,1.23255813953
45,2014-07,43,-30,-0.41095890411
46,2014-06,73,21,0.403846153846
47,2014-05,52,-30,-0.365853658537
48,2014-04,82,33,0.673469387755
49,2014-03,49,-46,-0.484210526316
50,2014-02,95,-44,-0.31654676259
51,2014-01,139,64,0.853333333333
52,2013-12,75,54,2.57142857143
53,2013-11,21,-90,-0.810810810811
54,2013-10,111,14,0.144329896907
55,2013-09,97,-16,-0.141592920354
56,2013-08,113,-47,-0.29375
57,2013-07,160,47,0.41592920354
58,2013-06,113,25,0.284090909091
59,2013-05,88,-24,-0.214285714286
60,2013-04,112,-254,-0.693989071038
61,2013-03,366,129,0.544303797468
62,2013-02,237,50,0.267379679144
63,2013-01,187,60,0.472440944882
64,2012-12,127,43,0.511904761905
65,2012-11,84,-131,-0.609302325581
66,2012-10,215,69,0.472602739726
67,2012-09,146,-82,-0.359649122807
68,2012-08,228,-68,-0.22972972973
69,2012-07,296,-70,-0.191256830601
70,2012-06,366,184,1.01098901099
71,2012-05,182,90,0.978260869565
72,2012-04,92,19,0.260273972603
73,2012-03,73,4,0.0579710144928
74,2012-02,69,33,0.916666666667
75,2012-01,36,30,5.0
76,2011-12,6,-1,-0.142857142857
77,2011-11,7,4,1.33333333333
78,2011-10,3,1,0.5
79,2011-09,2,0,0.0
