,date,nums,increment,ratio
0,2018-04,1247,134,0.120395327942
1,2018-03,1113,308,0.382608695652
2,2018-02,805,-160,-0.165803108808
3,2018-01,965,269,0.386494252874
4,2017-12,696,-228,-0.246753246753
5,2017-11,924,-328,-0.261980830671
6,2017-10,1252,120,0.106007067138
7,2017-09,1132,-366,-0.24432576769
8,2017-08,1498,43,0.0295532646048
9,2017-07,1455,-186,-0.113345521024
10,2017-06,1641,313,0.235692771084
11,2017-05,1328,-37,-0.0271062271062
12,2017-04,1365,152,0.125309150866
13,2017-03,1213,160,0.151946818613
14,2017-02,1053,217,0.25956937799
15,2017-01,836,-71,-0.0782800441014
16,2016-12,907,-341,-0.273237179487
17,2016-11,1248,169,0.156626506024
18,2016-10,1079,3,0.00278810408922
19,2016-09,1076,227,0.267373380448
20,2016-08,849,-170,-0.166830225711
21,2016-07,1019,-617,-0.377139364303
22,2016-06,1636,271,0.198534798535
23,2016-05,1365,304,0.286522148916
24,2016-04,1061,-640,-0.376249265138
25,2016-03,1701,-390,-0.186513629842
26,2016-02,2091,795,0.613425925926
27,2016-01,1296,555,0.748987854251
28,2015-12,741,-146,-0.164599774521
29,2015-11,887,90,0.112923462986
30,2015-10,797,-93,-0.104494382022
31,2015-09,890,-168,-0.158790170132
32,2015-08,1058,372,0.542274052478
33,2015-07,686,-17,-0.0241820768137
34,2015-06,703,-62,-0.081045751634
35,2015-05,765,45,0.0625
36,2015-04,720,-170,-0.191011235955
37,2015-03,890,71,0.0866910866911
38,2015-02,819,-320,-0.280948200176
39,2015-01,1139,324,0.39754601227
40,2014-12,815,266,0.484517304189
41,2014-11,549,-226,-0.291612903226
42,2014-10,775,144,0.228209191759
43,2014-09,631,-422,-0.400759734093
44,2014-08,1053,413,0.6453125
45,2014-07,640,102,0.189591078067
46,2014-06,538,-237,-0.305806451613
47,2014-05,775,162,0.26427406199
48,2014-04,613,-320,-0.342979635584
49,2014-03,933,58,0.0662857142857
50,2014-02,875,159,0.222067039106
51,2014-01,716,-60,-0.0773195876289
52,2013-12,776,465,1.49517684887
53,2013-11,311,-444,-0.588079470199
54,2013-10,755,79,0.116863905325
55,2013-09,676,-34,-0.0478873239437
56,2013-08,710,-255,-0.264248704663
57,2013-07,965,201,0.263089005236
58,2013-06,764,-163,-0.175836030205
59,2013-05,927,177,0.236
60,2013-04,750,-149,-0.16573971079
61,2013-03,899,9,0.0101123595506
62,2013-02,890,335,0.603603603604
63,2013-01,555,116,0.26423690205
64,2012-12,439,-221,-0.334848484848
65,2012-11,660,86,0.149825783972
66,2012-10,574,-24,-0.0401337792642
67,2012-09,598,183,0.440963855422
68,2012-08,415,-136,-0.246823956443
69,2012-07,551,119,0.275462962963
70,2012-06,432,-35,-0.0749464668094
71,2012-05,467,-30,-0.0603621730382
72,2012-04,497,66,0.15313225058
73,2012-03,431,-117,-0.213503649635
74,2012-02,548,147,0.366583541147
75,2012-01,401,54,0.155619596542
76,2011-12,347,37,0.11935483871
77,2011-11,310,-144,-0.31718061674
78,2011-10,454,-56,-0.109803921569
79,2011-09,510,-163,-0.24219910847
80,2011-08,673,191,0.396265560166
81,2011-07,482,-211,-0.304473304473
82,2011-06,693,198,0.4
83,2011-05,495,46,0.102449888641
84,2011-04,449,-104,-0.188065099458
85,2011-03,553,105,0.234375
86,2011-02,448,99,0.283667621777
87,2011-01,349,140,0.66985645933
88,2010-12,209,-209,-0.5
89,2010-11,418,103,0.326984126984
90,2010-10,315,107,0.514423076923
91,2010-09,208,-125,-0.375375375375
92,2010-08,333,32,0.106312292359
93,2010-07,301,12,0.0415224913495
94,2010-06,289,117,0.68023255814
95,2010-05,172,-80,-0.31746031746
96,2010-04,252,-228,-0.475
97,2010-03,480,264,1.22222222222
98,2010-02,216,119,1.22680412371
99,2010-01,97,-45,-0.316901408451
100,2009-12,142,-81,-0.363228699552
101,2009-11,223,-162,-0.420779220779
102,2009-10,385,9,0.0239361702128
103,2009-09,376,81,0.274576271186
104,2009-08,295,-57,-0.161931818182
105,2009-07,352,-18,-0.0486486486486
106,2009-06,370,119,0.474103585657
107,2009-05,251,-96,-0.276657060519
108,2009-04,347,-174,-0.333973128599
109,2009-03,521,383,2.77536231884
110,2009-02,138,-209,-0.602305475504
111,2009-01,347,41,0.133986928105
112,2008-12,306,-46,-0.130681818182
113,2008-11,352,18,0.0538922155689
114,2008-10,334,214,1.78333333333
115,2008-09,120,-95,-0.441860465116
116,2008-08,215,-16,-0.0692640692641
117,2008-07,231,51,0.283333333333
118,2008-06,180,-140,-0.4375
119,2008-05,320,-41,-0.113573407202
120,2008-04,361,90,0.332103321033
121,2008-03,271,220,4.3137254902
122,2008-02,51,-201,-0.797619047619
123,2008-01,252,116,0.852941176471
124,2007-12,136,-18,-0.116883116883
125,2007-11,154,19,0.140740740741
126,2007-10,135,27,0.25
127,2007-09,108,-83,-0.434554973822
128,2007-08,191,75,0.646551724138
129,2007-07,116,41,0.546666666667
130,2007-06,75,39,1.08333333333
131,2007-05,36,19,1.11764705882
132,2007-04,17,-175,-0.911458333333
133,2007-03,192,117,1.56
134,2007-02,75,9,0.136363636364
135,2007-01,66,37,1.27586206897
136,2006-12,29,13,0.8125
137,2006-11,16,-44,-0.733333333333
138,2006-10,60,8,0.153846153846
139,2006-09,52,6,0.130434782609
140,2006-08,46,40,6.66666666667
141,2006-07,6,1,0.2
142,2006-06,5,-15,-0.75
143,2006-05,20,-2,-0.0909090909091
144,2006-04,22,-16,-0.421052631579
145,2006-03,38,-85,-0.691056910569
146,2006-02,123,98,3.92
147,2006-01,25,-20,-0.444444444444
148,2005-12,45,39,6.5
149,2005-11,6,1,0.2
150,2005-10,5,-7,-0.583333333333
151,2005-09,12,0,0.0
152,2005-08,12,-95,-0.88785046729
153,2005-07,107,-13,-0.108333333333
154,2005-06,120,56,0.875
155,2005-05,64,7,0.122807017544
156,2005-04,57,56,56.0
157,2005-03,1,-1,-0.5
158,2005-02,2,-2,-0.5
159,2005-01,4,1,0.333333333333
160,2004-11,3,-13,-0.8125
161,2004-10,16,15,15.0
162,2004-09,1,-43,-0.977272727273
163,2004-08,44,-9,-0.169811320755
164,2004-07,53,48,9.6
165,2004-06,5,4,4.0
166,2001-05,1,0,0.0
167,2001-04,1,0,0.0
