,date,nums,increment,ratio
0,2018,4130,-10263,-0.713054957271
1,2017,14393,-935,-0.0609994780793
2,2016,15328,5233,0.518375433383
3,2015,10095,1182,0.13261528105
4,2014,8913,-65,-0.00723991980397
5,2013,8978,2965,0.493098287045
6,2012,6013,250,0.043380183932
7,2011,5763,2473,0.751671732523
8,2010,3290,-457,-0.121964238057
9,2009,3747,754,0.251921149348
10,2008,2993,1692,1.30053804766
11,2007,1301,859,1.94343891403
12,2006,442,7,0.016091954023
13,2005,435,313,2.56557377049
14,2004,122,120,60.0
15,2001,2,0,0.0
