,date,nums,increment,ratio
0,2018-04,88,-24,-0.214285714286
1,2018-03,112,-3,-0.0260869565217
2,2018-02,115,33,0.40243902439
3,2018-01,82,20,0.322580645161
4,2017-12,62,-28,-0.311111111111
5,2017-11,90,-1,-0.010989010989
6,2017-10,91,11,0.1375
7,2017-09,80,-66,-0.452054794521
8,2017-08,146,61,0.717647058824
9,2017-07,85,-37,-0.303278688525
10,2017-06,122,32,0.355555555556
11,2017-05,90,30,0.5
12,2017-04,60,-72,-0.545454545455
13,2017-03,132,55,0.714285714286
14,2017-02,77,-1,-0.0128205128205
15,2017-01,78,-20,-0.204081632653
16,2016-12,98,-30,-0.234375
17,2016-11,128,31,0.319587628866
18,2016-10,97,11,0.127906976744
19,2016-09,86,-11,-0.113402061856
20,2016-08,97,49,1.02083333333
21,2016-07,48,-15,-0.238095238095
22,2016-06,63,-64,-0.503937007874
23,2016-05,127,37,0.411111111111
24,2016-04,90,-10,-0.1
25,2016-03,100,-70,-0.411764705882
26,2016-02,170,67,0.650485436893
27,2016-01,103,47,0.839285714286
28,2015-12,56,16,0.4
29,2015-11,40,-70,-0.636363636364
30,2015-10,110,-53,-0.325153374233
31,2015-09,163,56,0.523364485981
32,2015-08,107,29,0.371794871795
33,2015-07,78,-17,-0.178947368421
34,2015-06,95,44,0.862745098039
35,2015-05,51,13,0.342105263158
36,2015-04,38,-76,-0.666666666667
37,2015-03,114,24,0.266666666667
38,2015-02,90,49,1.19512195122
39,2015-01,41,-3,-0.0681818181818
40,2014-12,44,-54,-0.551020408163
41,2014-11,98,-18,-0.155172413793
42,2014-10,116,-106,-0.477477477477
43,2014-09,222,97,0.776
44,2014-08,125,46,0.582278481013
45,2014-07,79,-66,-0.455172413793
46,2014-06,145,65,0.8125
47,2014-05,80,24,0.428571428571
48,2014-04,56,-78,-0.582089552239
49,2014-03,134,78,1.39285714286
50,2014-02,56,-1612,-0.966426858513
51,2014-01,1668,1625,37.7906976744
52,2012-07,43,-5,-0.104166666667
53,2012-06,48,7,0.170731707317
54,2012-05,41,19,0.863636363636
55,2012-04,22,1,0.047619047619
56,2012-03,21,-15,-0.416666666667
57,2012-02,36,30,5.0
58,2012-01,6,-6,-0.5
59,2011-12,12,3,0.333333333333
60,2011-11,9,7,3.5
61,2011-10,2,-17,-0.894736842105
62,2011-09,19,-20,-0.512820512821
63,2011-08,39,5,0.147058823529
64,2011-07,34,8,0.307692307692
65,2011-06,26,25,25.0
66,2011-05,1,0,0.0
