,date,nums,increment,ratio
0,2018-04,5,0,0.0
1,2018-03,5,1,0.25
2,2018-02,4,-3,-0.428571428571
3,2018-01,7,0,0.0
4,2017-12,7,-7,-0.5
5,2017-11,14,6,0.75
6,2017-10,8,-3,-0.272727272727
7,2017-09,11,5,0.833333333333
8,2017-08,6,-1,-0.142857142857
9,2017-07,7,3,0.75
10,2017-06,4,-6,-0.6
11,2017-05,10,3,0.428571428571
12,2017-04,7,-3,-0.3
13,2017-03,10,2,0.25
14,2017-02,8,0,0.0
15,2017-01,8,3,0.6
16,2016-12,5,-4,-0.444444444444
17,2016-11,9,2,0.285714285714
18,2016-10,7,-6,-0.461538461538
19,2016-09,13,1,0.0833333333333
20,2016-08,12,8,2.0
21,2016-07,4,-8,-0.666666666667
22,2016-06,12,4,0.5
23,2016-05,8,0,0.0
24,2016-04,8,-13,-0.619047619048
25,2016-03,21,10,0.909090909091
26,2016-02,11,-8,-0.421052631579
27,2016-01,19,-2,-0.0952380952381
28,2015-12,21,13,1.625
29,2015-11,8,-2,-0.2
30,2015-10,10,-4,-0.285714285714
31,2015-09,14,9,1.8
32,2015-08,5,-3,-0.375
33,2015-07,8,-8,-0.5
34,2015-06,16,2,0.142857142857
35,2015-05,14,6,0.75
36,2015-04,8,-6,-0.428571428571
37,2015-03,14,5,0.555555555556
38,2015-02,9,0,0.0
39,2015-01,9,2,0.285714285714
40,2014-12,7,-1,-0.125
41,2014-11,8,-6,-0.428571428571
42,2014-10,14,-1,-0.0666666666667
43,2014-09,15,7,0.875
44,2014-08,8,-4,-0.333333333333
45,2014-07,12,-2,-0.142857142857
46,2014-06,14,-2,-0.125
47,2014-05,16,-3,-0.157894736842
48,2014-04,19,10,1.11111111111
49,2014-03,9,-9,-0.5
50,2014-02,18,-3,-0.142857142857
51,2014-01,21,15,2.5
52,2013-12,6,-8,-0.571428571429
53,2013-11,14,3,0.272727272727
54,2013-10,11,-2,-0.153846153846
55,2013-09,13,0,0.0
56,2013-08,13,-4,-0.235294117647
57,2013-07,17,8,0.888888888889
58,2013-06,9,-9,-0.5
59,2013-05,18,10,1.25
60,2013-04,8,-6,-0.428571428571
61,2013-03,14,2,0.166666666667
62,2013-02,12,2,0.2
63,2013-01,10,-2,-0.166666666667
64,2012-12,12,-8,-0.4
65,2012-11,20,-18,-0.473684210526
66,2012-10,38,0,0.0
