,date,nums,increment,ratio
0,2017-07,1,0,0.0
1,2017-05,1,0,0.0
2,2016-11,1,0,0.0
3,2016-09,1,0,0.0
4,2016-05,1,-1,-0.5
5,2016-02,2,1,1.0
6,2015-11,1,-2,-0.666666666667
7,2015-10,3,2,2.0
8,2015-04,1,0,0.0
9,2015-02,1,-2,-0.666666666667
10,2015-01,3,1,0.5
11,2014-11,2,1,1.0
12,2014-10,1,0,0.0
13,2014-09,1,-2,-0.666666666667
14,2014-08,3,1,0.5
15,2014-06,2,0,0.0
16,2014-05,2,1,1.0
17,2014-04,1,0,0.0
18,2014-02,1,0,0.0
19,2014-01,1,-1,-0.5
20,2013-11,2,1,1.0
21,2013-09,1,0,0.0
22,2013-08,1,-2,-0.666666666667
23,2013-07,3,2,2.0
24,2013-05,1,-4,-0.8
25,2013-04,5,4,4.0
26,2013-03,1,-1,-0.5
27,2013-02,2,1,1.0
28,2013-01,1,0,0.0
29,2012-12,1,-1,-0.5
30,2012-11,2,1,1.0
31,2012-10,1,0,0.0
