,date,nums,increment,ratio
0,2018-04,3,-7,-0.7
1,2018-03,10,4,0.666666666667
2,2018-02,6,2,0.5
3,2018-01,4,-1,-0.2
4,2017-12,5,3,1.5
5,2017-11,2,-8,-0.8
6,2017-10,10,4,0.666666666667
7,2017-09,6,3,1.0
8,2017-08,3,2,2.0
9,2017-07,1,-4,-0.8
10,2017-06,5,4,4.0
11,2017-05,1,-2,-0.666666666667
12,2017-04,3,1,0.5
13,2017-03,2,-1,-0.333333333333
14,2017-01,3,-3,-0.5
15,2016-12,6,1,0.2
16,2016-11,5,4,4.0
17,2016-09,1,-3,-0.75
18,2016-08,4,-1,-0.2
19,2016-06,5,4,4.0
20,2016-05,1,-2,-0.666666666667
21,2016-03,3,1,0.5
22,2016-02,2,-7,-0.777777777778
23,2015-12,9,6,2.0
24,2015-11,3,-1,-0.25
25,2015-10,4,0,0.0
26,2015-08,4,3,3.0
27,2015-06,1,-3,-0.75
28,2015-05,4,3,3.0
29,2015-04,1,0,0.0
30,2015-03,1,0,0.0
31,2015-02,1,-1,-0.5
32,2015-01,2,1,1.0
33,2014-12,1,-11,-0.916666666667
34,2014-10,12,11,11.0
35,2014-07,1,-6,-0.857142857143
36,2014-06,7,6,6.0
37,2013-12,1,-1,-0.5
38,2012-05,2,1,1.0
39,2011-02,1,-1,-0.5
40,2010-12,2,-3,-0.6
41,2010-11,5,4,4.0
42,2010-10,1,0,0.0
43,2010-08,1,0,0.0
