,date,nums,increment,ratio
0,2018-04,15,6,0.666666666667
1,2018-03,9,2,0.285714285714
2,2018-02,7,-9,-0.5625
3,2018-01,16,6,0.6
4,2017-12,10,-4,-0.285714285714
5,2017-11,14,-5,-0.263157894737
6,2017-10,19,12,1.71428571429
7,2017-09,7,-8,-0.533333333333
8,2017-08,15,-5,-0.25
9,2017-07,20,8,0.666666666667
10,2017-06,12,-3,-0.2
11,2017-05,15,-3,-0.166666666667
12,2017-04,18,-9,-0.333333333333
13,2017-03,27,20,2.85714285714
14,2017-02,7,-2,-0.222222222222
15,2017-01,9,-6,-0.4
16,2016-12,15,5,0.5
17,2016-11,10,3,0.428571428571
18,2016-10,7,-10,-0.588235294118
19,2016-09,17,4,0.307692307692
20,2016-08,13,3,0.3
21,2016-07,10,2,0.25
22,2016-06,8,-22,-0.733333333333
23,2016-05,30,8,0.363636363636
24,2016-04,22,5,0.294117647059
25,2016-03,17,7,0.7
26,2016-02,10,-7,-0.411764705882
27,2016-01,17,-15,-0.46875
28,2015-12,32,24,3.0
29,2015-11,8,-4,-0.333333333333
30,2015-10,12,3,0.333333333333
31,2015-09,9,-5,-0.357142857143
32,2015-08,14,-2,-0.125
33,2015-07,16,9,1.28571428571
34,2015-06,7,-1,-0.125
35,2015-05,8,-9,-0.529411764706
36,2015-04,17,4,0.307692307692
37,2015-03,13,4,0.444444444444
38,2015-02,9,2,0.285714285714
39,2015-01,7,-4,-0.363636363636
40,2014-12,11,5,0.833333333333
41,2014-11,6,0,0.0
42,2014-10,6,4,2.0
43,2014-09,2,-12,-0.857142857143
44,2014-08,14,1,0.0769230769231
45,2014-07,13,2,0.181818181818
46,2014-06,11,4,0.571428571429
47,2014-05,7,5,2.5
48,2014-04,2,-7,-0.777777777778
49,2014-03,9,8,8.0
50,2014-02,1,-5,-0.833333333333
51,2014-01,6,2,0.5
52,2013-12,4,3,3.0
53,2013-11,1,-2,-0.666666666667
54,2013-10,3,-3,-0.5
55,2013-09,6,1,0.2
56,2013-08,5,3,1.5
57,2013-07,2,1,1.0
58,2013-06,1,-2,-0.666666666667
59,2013-05,3,1,0.5
60,2013-04,2,0,0.0
61,2013-03,2,-1,-0.333333333333
62,2013-02,3,2,2.0
63,2013-01,1,-1,-0.5
64,2012-12,2,1,1.0
65,2012-11,1,0,0.0
66,2012-10,1,-3,-0.75
67,2012-07,4,3,3.0
68,2012-06,1,0,0.0
69,2012-05,1,0,0.0
70,2012-02,1,0,0.0
71,2012-01,1,0,0.0
72,2011-10,1,0,0.0
73,2011-05,1,0,0.0
74,2011-04,1,-1,-0.5
75,2011-03,2,1,1.0
76,2010-12,1,0,0.0
