,date,nums,increment,ratio
0,2018-04,4,0,0.0
1,2018-01,4,0,0.0
2,2017-12,4,0,0.0
3,2017-10,4,-2,-0.333333333333
4,2017-08,6,0,0.0
5,2017-07,6,1,0.2
6,2017-06,5,3,1.5
7,2017-05,2,1,1.0
8,2017-04,1,-7,-0.875
9,2017-03,8,7,7.0
10,2017-02,1,-1,-0.5
11,2017-01,2,-5,-0.714285714286
12,2016-12,7,3,0.75
13,2016-11,4,0,0.0
14,2016-10,4,2,1.0
15,2016-09,2,1,1.0
16,2016-08,1,-1,-0.5
17,2016-07,2,-4,-0.666666666667
18,2016-05,6,-6,-0.5
19,2016-04,12,7,1.4
20,2016-03,5,0,0.0
21,2016-02,5,1,0.25
22,2016-01,4,-12,-0.75
23,2015-12,16,15,15.0
24,2015-11,1,-1,-0.5
25,2015-10,2,0,0.0
26,2015-09,2,-1,-0.333333333333
27,2015-08,3,-1,-0.25
28,2015-07,4,1,0.333333333333
29,2015-06,3,0,0.0
30,2015-05,3,-2,-0.4
31,2015-04,5,0,0.0
32,2015-03,5,4,4.0
33,2015-02,1,-1,-0.5
34,2015-01,2,0,0.0
35,2014-12,2,0,0.0
36,2014-11,2,-1,-0.333333333333
37,2014-10,3,0,0.0
38,2014-08,3,-1,-0.25
39,2014-07,4,3,3.0
40,2014-06,1,-1,-0.5
41,2014-05,2,1,1.0
42,2014-04,1,-5,-0.833333333333
43,2014-03,6,5,5.0
44,2014-02,1,0,0.0
45,2014-01,1,-2,-0.666666666667
46,2013-12,3,0,0.0
47,2013-10,3,-3,-0.5
48,2013-09,6,4,2.0
49,2013-08,2,0,0.0
50,2013-04,2,1,1.0
51,2013-03,1,0,0.0
52,2012-12,1,0,0.0
53,2011-05,1,0,0.0
54,2011-04,1,0,0.0
55,2010-12,1,0,0.0
