,date,nums,increment,ratio
0,2018-04,46,-3,-0.0612244897959
1,2018-03,49,6,0.139534883721
2,2018-02,43,-16,-0.271186440678
3,2018-01,59,9,0.18
4,2017-12,50,-8,-0.137931034483
5,2017-11,58,7,0.137254901961
6,2017-10,51,-8,-0.135593220339
7,2017-09,59,11,0.229166666667
8,2017-08,48,-6,-0.111111111111
9,2017-07,54,0,0.0
10,2017-06,54,2,0.0384615384615
11,2017-05,52,7,0.155555555556
12,2017-04,45,-4,-0.0816326530612
13,2017-03,49,8,0.19512195122
14,2017-02,41,7,0.205882352941
15,2017-01,34,-15,-0.30612244898
16,2016-12,49,5,0.113636363636
17,2016-11,44,8,0.222222222222
18,2016-10,36,0,0.0
19,2016-09,36,-6,-0.142857142857
20,2016-08,42,-3,-0.0666666666667
21,2016-07,45,-2,-0.0425531914894
22,2016-06,47,-16,-0.253968253968
23,2016-05,63,0,0.0
24,2016-04,63,12,0.235294117647
25,2016-03,51,12,0.307692307692
26,2016-02,39,-13,-0.25
27,2016-01,52,-4,-0.0714285714286
28,2015-12,56,1,0.0181818181818
29,2015-11,55,3,0.0576923076923
30,2015-10,52,8,0.181818181818
31,2015-09,44,-2,-0.0434782608696
32,2015-08,46,-7,-0.132075471698
33,2015-07,53,10,0.232558139535
34,2015-06,43,-4,-0.0851063829787
35,2015-05,47,6,0.146341463415
36,2015-04,41,6,0.171428571429
37,2015-03,35,5,0.166666666667
38,2015-02,30,-13,-0.302325581395
39,2015-01,43,1,0.0238095238095
40,2014-12,42,2,0.05
41,2014-11,40,6,0.176470588235
42,2014-10,34,-7,-0.170731707317
43,2014-09,41,-1,-0.0238095238095
44,2014-08,42,0,0.0
45,2014-07,42,5,0.135135135135
46,2014-06,37,15,0.681818181818
47,2014-05,22,-5,-0.185185185185
48,2014-04,27,-31,-0.534482758621
49,2014-03,58,30,1.07142857143
50,2014-02,28,-16,-0.363636363636
51,2014-01,44,17,0.62962962963
52,2013-12,27,-4,-0.129032258065
53,2013-11,31,-3,-0.0882352941176
54,2013-10,34,17,1.0
55,2013-09,17,-9,-0.346153846154
56,2013-08,26,4,0.181818181818
57,2013-07,22,-1,-0.0434782608696
58,2013-06,23,1,0.0454545454545
59,2013-05,22,2,0.1
60,2013-04,20,0,0.0
61,2013-03,20,16,4.0
62,2013-02,4,3,3.0
63,2013-01,1,0,0.0
64,2012-09,1,0,0.0
65,2012-07,1,0,0.0
66,2012-06,1,-1,-0.5
67,2012-04,2,-2,-0.5
68,2012-03,4,3,3.0
69,2012-02,1,-1,-0.5
70,2012-01,2,0,0.0
71,2011-12,2,-1,-0.333333333333
72,2011-11,3,1,0.5
73,2011-10,2,-3,-0.6
74,2011-09,5,1,0.25
75,2011-08,4,-1,-0.2
76,2011-07,5,-2,-0.285714285714
77,2011-06,7,5,2.5
78,2011-05,2,-4,-0.666666666667
79,2011-04,6,0,0.0
80,2011-03,6,4,2.0
81,2011-02,2,-1,-0.333333333333
82,2011-01,3,-2,-0.4
83,2010-12,5,2,0.666666666667
84,2010-11,3,-3,-0.5
85,2010-10,6,4,2.0
86,2010-09,2,-5,-0.714285714286
87,2010-08,7,2,0.4
88,2010-07,5,-111,-0.956896551724
89,2010-06,116,0,0.0
