,date,nums,increment,ratio
0,2018-02,6,4,2.0
1,2017-12,2,0,0.0
2,2017-06,2,0,0.0
3,2017-04,2,1,1.0
4,2017-03,1,-5,-0.833333333333
5,2016-10,6,-3,-0.333333333333
6,2016-02,9,0,0.0
7,2015-10,9,6,2.0
8,2015-09,3,0,0.0
9,2015-08,3,-10,-0.769230769231
10,2015-07,13,12,12.0
11,2015-05,1,-8,-0.888888888889
12,2015-04,9,7,3.5
13,2015-03,2,0,0.0
14,2015-02,2,0,0.0
15,2015-01,2,1,1.0
16,2014-12,1,-2,-0.666666666667
17,2014-11,3,-9,-0.75
18,2014-10,12,-30,-0.714285714286
19,2014-09,42,40,20.0
20,2014-07,2,-1,-0.333333333333
21,2014-04,3,-1,-0.25
22,2014-03,4,3,3.0
23,2014-02,1,-11,-0.916666666667
24,2013-08,12,0,0.0
