,date,nums,increment,ratio
0,2018-04,382,153,0.668122270742
1,2018-03,229,73,0.467948717949
2,2018-02,156,-100,-0.390625
3,2018-01,256,60,0.30612244898
4,2017-12,196,26,0.152941176471
5,2017-11,170,-42,-0.198113207547
6,2017-10,212,58,0.376623376623
7,2017-09,154,-28,-0.153846153846
8,2017-08,182,15,0.0898203592814
9,2017-07,167,-63,-0.273913043478
10,2017-06,230,34,0.173469387755
11,2017-05,196,-69,-0.260377358491
12,2017-04,265,-15,-0.0535714285714
13,2017-03,280,145,1.07407407407
14,2017-02,135,-77,-0.36320754717
15,2017-01,212,40,0.232558139535
16,2016-12,172,-5,-0.0282485875706
17,2016-11,177,-95,-0.349264705882
18,2016-10,272,-11,-0.0388692579505
19,2016-09,283,-3,-0.0104895104895
20,2016-08,286,-3,-0.0103806228374
21,2016-07,289,-165,-0.363436123348
22,2016-06,454,123,0.371601208459
23,2016-05,331,-119,-0.264444444444
24,2016-04,450,72,0.190476190476
25,2016-03,378,-18,-0.0454545454545
26,2016-02,396,51,0.147826086957
27,2016-01,345,129,0.597222222222
28,2015-12,216,48,0.285714285714
29,2015-11,168,-10,-0.0561797752809
30,2015-10,178,-41,-0.187214611872
31,2015-09,219,-63,-0.223404255319
32,2015-08,282,173,1.5871559633
33,2015-07,109,-135,-0.553278688525
34,2015-06,244,134,1.21818181818
35,2015-05,110,-29,-0.208633093525
36,2015-04,139,-100,-0.418410041841
37,2015-03,239,-24,-0.0912547528517
38,2015-02,263,37,0.163716814159
39,2015-01,226,-84,-0.270967741935
40,2014-12,310,-94,-0.232673267327
41,2014-11,404,-136,-0.251851851852
42,2014-10,540,-385,-0.416216216216
43,2014-09,925,892,27.0303030303
44,2014-08,33,7,0.269230769231
45,2014-07,26,-40,-0.606060606061
46,2014-06,66,-42,-0.388888888889
47,2014-05,108,-30,-0.217391304348
48,2014-04,138,70,1.02941176471
49,2014-03,68,-73,-0.517730496454
50,2014-02,141,-46,-0.245989304813
51,2014-01,187,21,0.126506024096
52,2013-12,166,-3,-0.0177514792899
53,2013-11,169,-55,-0.245535714286
54,2013-10,224,88,0.647058823529
55,2013-09,136,-174,-0.561290322581
56,2013-08,310,136,0.781609195402
57,2013-07,174,133,3.24390243902
58,2013-06,41,0,0.0
