,date,nums,increment,ratio
0,2018-04,101,-49,-0.326666666667
1,2018-03,150,60,0.666666666667
2,2018-02,90,-31,-0.256198347107
3,2018-01,121,45,0.592105263158
4,2017-12,76,-15,-0.164835164835
5,2017-11,91,4,0.0459770114943
6,2017-10,87,5,0.0609756097561
7,2017-09,82,3,0.0379746835443
8,2017-08,79,-17,-0.177083333333
9,2017-07,96,-4,-0.04
10,2017-06,100,6,0.063829787234
11,2017-05,94,0,0.0
12,2017-04,94,-35,-0.271317829457
13,2017-03,129,62,0.925373134328
14,2017-02,67,-14,-0.172839506173
15,2017-01,81,14,0.208955223881
16,2016-12,67,-21,-0.238636363636
17,2016-11,88,13,0.173333333333
18,2016-10,75,-4,-0.0506329113924
19,2016-09,79,1,0.0128205128205
20,2016-08,78,-1,-0.0126582278481
21,2016-07,79,11,0.161764705882
22,2016-06,68,16,0.307692307692
23,2016-05,52,-17,-0.246376811594
24,2016-04,69,6,0.0952380952381
25,2016-03,63,8,0.145454545455
26,2016-02,55,3,0.0576923076923
27,2016-01,52,-14,-0.212121212121
28,2015-12,66,-13,-0.164556962025
29,2015-11,79,29,0.58
30,2015-10,50,-17,-0.253731343284
31,2015-09,67,0,0.0
32,2015-08,67,4,0.0634920634921
33,2015-07,63,16,0.340425531915
34,2015-06,47,-11,-0.189655172414
35,2015-05,58,10,0.208333333333
36,2015-04,48,-10,-0.172413793103
37,2015-03,58,19,0.487179487179
38,2015-02,39,-9,-0.1875
39,2015-01,48,13,0.371428571429
40,2014-12,35,-2,-0.0540540540541
41,2014-11,37,10,0.37037037037
42,2014-10,27,6,0.285714285714
43,2014-09,21,-17,-0.447368421053
44,2014-08,38,8,0.266666666667
45,2014-07,30,7,0.304347826087
46,2014-06,23,9,0.642857142857
47,2014-05,14,-3,-0.176470588235
48,2014-04,17,-9,-0.346153846154
49,2014-03,26,2,0.0833333333333
50,2014-02,24,-1,-0.04
51,2014-01,25,11,0.785714285714
52,2013-12,14,3,0.272727272727
53,2013-11,11,-12,-0.521739130435
54,2013-10,23,-2,-0.08
55,2013-09,25,-8,-0.242424242424
56,2013-08,33,22,2.0
57,2013-07,11,0,0.0
