,date,nums,increment,ratio
0,2018-05,11,-142,-0.928104575163
1,2018-04,153,15,0.108695652174
2,2018-03,138,21,0.179487179487
3,2018-02,117,-68,-0.367567567568
4,2018-01,185,59,0.468253968254
5,2017-12,126,-22,-0.148648648649
6,2017-11,148,-20,-0.119047619048
7,2017-10,168,15,0.0980392156863
8,2017-09,153,17,0.125
9,2017-08,136,-7,-0.048951048951
10,2017-07,143,-42,-0.227027027027
11,2017-06,185,11,0.0632183908046
12,2017-05,174,-26,-0.13
13,2017-04,200,-50,-0.2
14,2017-03,250,117,0.87969924812
15,2017-02,133,-38,-0.222222222222
16,2017-01,171,2,0.0118343195266
17,2016-12,169,22,0.149659863946
18,2016-11,147,-62,-0.296650717703
19,2016-10,209,-27,-0.114406779661
20,2016-09,236,-17,-0.0671936758893
21,2016-08,253,11,0.0454545454545
22,2016-07,242,-73,-0.231746031746
23,2016-06,315,40,0.145454545455
24,2016-05,275,-39,-0.124203821656
25,2016-04,314,35,0.125448028674
26,2016-03,279,-3,-0.0106382978723
27,2016-02,282,28,0.110236220472
28,2016-01,254,80,0.459770114943
29,2015-12,174,27,0.183673469388
30,2015-11,147,-17,-0.103658536585
31,2015-10,164,-45,-0.215311004785
32,2015-09,209,-1,-0.0047619047619
33,2015-08,210,90,0.75
34,2015-07,120,-71,-0.371727748691
35,2015-06,191,76,0.660869565217
36,2015-05,115,-49,-0.298780487805
37,2015-04,164,-51,-0.237209302326
38,2015-03,215,17,0.0858585858586
39,2015-02,198,22,0.125
40,2015-01,176,-35,-0.165876777251
41,2014-12,211,-34,-0.138775510204
42,2014-11,245,-109,-0.30790960452
43,2014-10,354,113,0.46887966805
44,2014-09,241,182,3.08474576271
45,2014-08,59,16,0.372093023256
46,2014-07,43,-7,-0.14
47,2014-06,50,-7,-0.122807017544
48,2014-05,57,-39,-0.40625
49,2014-04,96,33,0.52380952381
50,2014-03,63,-24,-0.275862068966
51,2014-02,87,1,0.0116279069767
52,2014-01,86,4,0.0487804878049
53,2013-12,82,17,0.261538461538
54,2013-11,65,-23,-0.261363636364
55,2013-10,88,41,0.872340425532
56,2013-09,47,-61,-0.564814814815
57,2013-08,108,66,1.57142857143
58,2013-07,42,0,0.0
