,date,nums,increment,ratio
0,2018-05,8,-81,-0.910112359551
1,2018-04,89,16,0.219178082192
2,2018-03,73,6,0.089552238806
3,2018-02,67,-23,-0.255555555556
4,2018-01,90,21,0.304347826087
5,2017-12,69,-12,-0.148148148148
6,2017-11,81,-25,-0.235849056604
7,2017-10,106,31,0.413333333333
8,2017-09,75,2,0.027397260274
9,2017-08,73,-3,-0.0394736842105
10,2017-07,76,-23,-0.232323232323
11,2017-06,99,1,0.0102040816327
12,2017-05,98,-17,-0.147826086957
13,2017-04,115,-18,-0.135338345865
14,2017-03,133,69,1.078125
15,2017-02,64,-29,-0.311827956989
16,2017-01,93,6,0.0689655172414
17,2016-12,87,-1,-0.0113636363636
18,2016-11,88,-40,-0.3125
19,2016-10,128,-20,-0.135135135135
20,2016-09,148,-9,-0.0573248407643
21,2016-08,157,20,0.14598540146
22,2016-07,137,-90,-0.396475770925
23,2016-06,227,55,0.31976744186
24,2016-05,172,-42,-0.196261682243
25,2016-04,214,23,0.120418848168
26,2016-03,191,-2,-0.0103626943005
27,2016-02,193,11,0.0604395604396
28,2016-01,182,61,0.504132231405
29,2015-12,121,22,0.222222222222
30,2015-11,99,-7,-0.0660377358491
31,2015-10,106,-23,-0.178294573643
32,2015-09,129,10,0.0840336134454
33,2015-08,119,53,0.80303030303
34,2015-07,66,-47,-0.41592920354
35,2015-06,113,63,1.26
36,2015-05,50,-32,-0.390243902439
37,2015-04,82,-48,-0.369230769231
38,2015-03,130,24,0.22641509434
39,2015-02,106,-16,-0.131147540984
40,2015-01,122,-15,-0.109489051095
41,2014-12,137,-18,-0.116129032258
42,2014-11,155,-69,-0.308035714286
43,2014-10,224,60,0.365853658537
44,2014-09,164,139,5.56
45,2014-08,25,10,0.666666666667
46,2014-07,15,-11,-0.423076923077
47,2014-06,26,-6,-0.1875
48,2014-05,32,-17,-0.34693877551
49,2014-04,49,8,0.19512195122
50,2014-03,41,-7,-0.145833333333
51,2014-02,48,-19,-0.283582089552
52,2014-01,67,9,0.155172413793
53,2013-12,58,22,0.611111111111
54,2013-11,36,-30,-0.454545454545
55,2013-10,66,39,1.44444444444
56,2013-09,27,-49,-0.644736842105
57,2013-08,76,34,0.809523809524
58,2013-07,42,0,0.0
