,date,nums,increment,ratio
0,2018-04,425,-133,-0.23835125448
1,2018-03,558,98,0.213043478261
2,2018-02,460,-21,-0.043659043659
3,2018-01,481,37,0.0833333333333
4,2017-12,444,57,0.147286821705
5,2017-11,387,44,0.128279883382
6,2017-10,343,-18,-0.0498614958449
7,2017-09,361,-27,-0.069587628866
8,2017-08,388,-43,-0.0997679814385
9,2017-07,431,75,0.210674157303
10,2017-06,356,17,0.0501474926254
11,2017-05,339,-45,-0.1171875
12,2017-04,384,-14,-0.035175879397
13,2017-03,398,60,0.177514792899
14,2017-02,338,45,0.153583617747
15,2017-01,293,-17,-0.0548387096774
16,2016-12,310,-16,-0.0490797546012
17,2016-11,326,16,0.0516129032258
18,2016-10,310,18,0.0616438356164
19,2016-09,292,-9,-0.0299003322259
20,2016-08,301,-26,-0.0795107033639
21,2016-07,327,16,0.0514469453376
22,2016-06,311,0,0.0
23,2016-05,311,22,0.076124567474
24,2016-04,289,-8,-0.026936026936
25,2016-03,297,61,0.258474576271
26,2016-02,236,-29,-0.109433962264
27,2016-01,265,47,0.215596330275
28,2015-12,218,-23,-0.0954356846473
29,2015-11,241,-31,-0.113970588235
30,2015-10,272,-42,-0.133757961783
31,2015-09,314,83,0.359307359307
32,2015-08,231,-48,-0.172043010753
33,2015-07,279,22,0.0856031128405
34,2015-06,257,6,0.0239043824701
35,2015-05,251,-17,-0.0634328358209
36,2015-04,268,-15,-0.0530035335689
37,2015-03,283,3,0.0107142857143
38,2015-02,280,-43,-0.133126934985
39,2015-01,323,8,0.0253968253968
40,2014-12,315,78,0.329113924051
41,2014-11,237,19,0.0871559633028
42,2014-10,218,-49,-0.183520599251
43,2014-09,267,-15,-0.0531914893617
44,2014-08,282,27,0.105882352941
45,2014-07,255,55,0.275
46,2014-06,200,28,0.162790697674
47,2014-05,172,-94,-0.353383458647
48,2014-04,266,59,0.285024154589
49,2014-03,207,-36,-0.148148148148
50,2014-02,243,7,0.0296610169492
51,2014-01,236,4,0.0172413793103
52,2013-12,232,74,0.46835443038
53,2013-11,158,-58,-0.268518518519
54,2013-10,216,-148,-0.406593406593
55,2013-09,364,-339,-0.482219061166
56,2013-08,703,500,2.46305418719
57,2013-07,203,0,0.0
