,date,nums,increment,ratio
0,2018-04,24,-54,-0.692307692308
1,2018-03,78,7,0.0985915492958
2,2018-02,71,-17,-0.193181818182
3,2018-01,88,68,3.4
4,2017-12,20,2,0.111111111111
5,2017-11,18,-27,-0.6
6,2017-10,45,10,0.285714285714
7,2017-09,35,-14,-0.285714285714
8,2017-08,49,-7,-0.125
9,2017-07,56,-6,-0.0967741935484
10,2017-06,62,-5,-0.0746268656716
11,2017-05,67,46,2.19047619048
12,2017-04,21,-27,-0.5625
13,2017-03,48,-24,-0.333333333333
14,2017-02,72,-25,-0.257731958763
15,2017-01,97,68,2.34482758621
16,2016-12,29,23,3.83333333333
17,2016-11,6,5,5.0
18,2016-10,1,-8,-0.888888888889
19,2016-09,9,-20,-0.689655172414
20,2016-08,29,-21,-0.42
21,2016-07,50,-10,-0.166666666667
22,2016-06,60,35,1.4
23,2016-05,25,-25,-0.5
24,2016-04,50,-9,-0.152542372881
25,2016-03,59,-13,-0.180555555556
26,2016-02,72,-25,-0.257731958763
27,2016-01,97,61,1.69444444444
28,2015-12,36,23,1.76923076923
29,2015-11,13,-25,-0.657894736842
30,2015-10,38,15,0.652173913043
31,2015-09,23,-62,-0.729411764706
32,2015-08,85,1,0.0119047619048
33,2015-07,84,3,0.037037037037
34,2015-06,81,29,0.557692307692
35,2015-05,52,1,0.0196078431373
36,2015-04,51,-19,-0.271428571429
37,2015-03,70,-5,-0.0666666666667
38,2015-02,75,23,0.442307692308
39,2015-01,52,9,0.209302325581
40,2014-12,43,28,1.86666666667
41,2014-11,15,-25,-0.625
42,2014-10,40,-11,-0.21568627451
43,2014-09,51,-28,-0.354430379747
44,2014-08,79,8,0.112676056338
45,2014-07,71,30,0.731707317073
46,2014-06,41,9,0.28125
47,2014-05,32,-18,-0.36
48,2014-04,50,14,0.388888888889
49,2014-03,36,14,0.636363636364
50,2014-02,22,-2,-0.0833333333333
51,2014-01,24,-45,-0.652173913043
52,2013-12,69,9,0.15
53,2013-11,60,15,0.333333333333
54,2013-10,45,-33,-0.423076923077
55,2013-09,78,30,0.625
56,2013-08,48,32,2.0
57,2013-07,16,-3,-0.157894736842
58,2013-06,19,3,0.1875
59,2013-05,16,-4,-0.2
60,2013-04,20,-14,-0.411764705882
61,2013-03,34,-4,-0.105263157895
62,2013-02,38,-23,-0.377049180328
63,2013-01,61,43,2.38888888889
64,2012-12,18,-18,-0.5
65,2012-11,36,10,0.384615384615
66,2012-10,26,9,0.529411764706
67,2012-09,17,-45,-0.725806451613
68,2012-08,62,12,0.24
69,2012-07,50,15,0.428571428571
70,2012-06,35,-12,-0.255319148936
71,2012-05,47,30,1.76470588235
72,2012-04,17,-32,-0.65306122449
73,2012-03,49,4,0.0888888888889
74,2012-02,45,-34,-0.430379746835
75,2012-01,79,3,0.0394736842105
76,2011-12,76,74,37.0
77,2011-11,2,0,0.0
