,date,nums,increment,ratio
0,2018-04,21,-28,-0.571428571429
1,2018-03,49,22,0.814814814815
2,2018-02,27,-22,-0.448979591837
3,2018-01,49,15,0.441176470588
4,2017-12,34,7,0.259259259259
5,2017-11,27,4,0.173913043478
6,2017-10,23,-13,-0.361111111111
7,2017-09,36,4,0.125
8,2017-08,32,-8,-0.2
9,2017-07,40,0,0.0
10,2017-06,40,7,0.212121212121
11,2017-05,33,-15,-0.3125
12,2017-04,48,2,0.0434782608696
13,2017-03,46,2,0.0454545454545
14,2017-02,44,-16,-0.266666666667
15,2017-01,60,42,2.33333333333
16,2016-12,18,-4,-0.181818181818
17,2016-11,22,-8,-0.266666666667
18,2016-10,30,-15,-0.333333333333
19,2016-09,45,13,0.40625
20,2016-08,32,-24,-0.428571428571
21,2016-07,56,-13,-0.188405797101
22,2016-06,69,34,0.971428571429
23,2016-05,35,-8,-0.186046511628
24,2016-04,43,3,0.075
25,2016-03,40,-26,-0.393939393939
26,2016-02,66,-4,-0.0571428571429
27,2016-01,70,42,1.5
28,2015-12,28,9,0.473684210526
29,2015-11,19,-18,-0.486486486486
30,2015-10,37,6,0.193548387097
31,2015-09,31,-30,-0.491803278689
32,2015-08,61,22,0.564102564103
33,2015-07,39,-14,-0.264150943396
34,2015-06,53,-9,-0.145161290323
35,2015-05,62,20,0.47619047619
36,2015-04,42,12,0.4
37,2015-03,30,-5,-0.142857142857
38,2015-02,35,15,0.75
39,2015-01,20,1,0.0526315789474
40,2014-12,19,-10,-0.344827586207
41,2014-11,29,-4,-0.121212121212
42,2014-10,33,-6,-0.153846153846
43,2014-09,39,3,0.0833333333333
44,2014-08,36,8,0.285714285714
45,2014-07,28,7,0.333333333333
46,2014-06,21,-5,-0.192307692308
47,2014-05,26,-1,-0.037037037037
48,2014-04,27,-5,-0.15625
49,2014-03,32,10,0.454545454545
50,2014-02,22,7,0.466666666667
51,2014-01,15,-9,-0.375
52,2013-12,24,-9,-0.272727272727
53,2013-11,33,4,0.137931034483
54,2013-10,29,-1,-0.0333333333333
55,2013-09,30,3,0.111111111111
56,2013-08,27,5,0.227272727273
57,2013-07,22,13,1.44444444444
58,2013-06,9,0,0.0
59,2013-05,9,-7,-0.4375
60,2013-04,16,0,0.0
61,2013-03,16,1,0.0666666666667
62,2013-02,15,0,0.0
