,date,nums,increment,ratio
0,2018-04,8,-4,-0.333333333333
1,2018-03,12,6,1.0
2,2018-02,6,-3,-0.333333333333
3,2018-01,9,5,1.25
4,2017-12,4,0,0.0
5,2017-11,4,-1,-0.2
6,2017-10,5,-3,-0.375
7,2017-09,8,-4,-0.333333333333
8,2017-08,12,4,0.5
9,2017-07,8,-6,-0.428571428571
10,2017-06,14,8,1.33333333333
11,2017-05,6,-1,-0.142857142857
12,2017-04,7,-4,-0.363636363636
13,2017-03,11,2,0.222222222222
14,2017-02,9,-11,-0.55
15,2017-01,20,15,3.0
16,2016-12,5,3,1.5
17,2016-11,2,-1,-0.333333333333
18,2016-10,3,-5,-0.625
19,2016-09,8,4,1.0
20,2016-08,4,-8,-0.666666666667
21,2016-07,12,-6,-0.333333333333
22,2016-06,18,13,2.6
23,2016-05,5,-5,-0.5
24,2016-04,10,-5,-0.333333333333
25,2016-03,15,-5,-0.25
26,2016-02,20,6,0.428571428571
27,2016-01,14,2,0.166666666667
28,2015-12,12,11,11.0
29,2015-11,1,-7,-0.875
30,2015-10,8,5,1.66666666667
31,2015-09,3,-13,-0.8125
32,2015-08,16,8,1.0
33,2015-07,8,-14,-0.636363636364
34,2015-06,22,4,0.222222222222
35,2015-05,18,1,0.0588235294118
36,2015-04,17,7,0.7
37,2015-03,10,-4,-0.285714285714
38,2015-02,14,9,1.8
39,2015-01,5,-1,-0.166666666667
40,2014-12,6,1,0.2
41,2014-11,5,3,1.5
42,2014-10,2,-9,-0.818181818182
43,2014-09,11,-6,-0.352941176471
44,2014-08,17,14,4.66666666667
45,2014-07,3,1,0.5
46,2014-06,2,-3,-0.6
47,2014-05,5,1,0.25
48,2014-04,4,3,3.0
49,2014-03,1,-1,-0.5
50,2014-02,2,-3,-0.6
51,2013-12,5,2,0.666666666667
52,2013-11,3,0,0.0
53,2013-10,3,0,0.0
54,2013-09,3,1,0.5
55,2013-05,2,0,0.0
56,2013-04,2,1,1.0
57,2013-03,1,-5,-0.833333333333
58,2013-02,6,0,0.0
