,date,nums,increment,ratio
0,2018-04,1,-1,-0.5
1,2018-03,2,-2,-0.5
2,2018-02,4,-2,-0.333333333333
3,2018-01,6,-3,-0.333333333333
4,2017-12,9,6,2.0
5,2017-11,3,1,0.5
6,2017-10,2,-1,-0.333333333333
7,2017-09,3,-1,-0.25
8,2017-08,4,-4,-0.5
9,2017-07,8,3,0.6
10,2017-06,5,4,4.0
11,2017-05,1,0,0.0
12,2017-04,1,-2,-0.666666666667
13,2017-03,3,-1,-0.25
14,2017-02,4,3,3.0
15,2017-01,1,-1,-0.5
16,2016-12,2,-2,-0.5
17,2016-11,4,-4,-0.5
18,2016-10,8,2,0.333333333333
19,2016-09,6,-3,-0.333333333333
20,2016-08,9,4,0.8
21,2016-07,5,1,0.25
22,2016-06,4,-1,-0.2
23,2016-05,5,3,1.5
24,2016-04,2,1,1.0
25,2016-02,1,-2,-0.666666666667
26,2015-12,3,2,2.0
27,2015-11,1,-5,-0.833333333333
28,2015-10,6,2,0.5
29,2015-09,4,1,0.333333333333
30,2015-08,3,2,2.0
31,2015-07,1,0,0.0
