,date,nums,increment,ratio
0,2018-04,14,-1,-0.0666666666667
1,2018-03,15,7,0.875
2,2018-02,8,-1,-0.111111111111
3,2018-01,9,-3,-0.25
4,2017-12,12,-7,-0.368421052632
5,2017-11,19,6,0.461538461538
6,2017-10,13,3,0.3
7,2017-09,10,-6,-0.375
8,2017-08,16,0,0.0
9,2017-07,16,4,0.333333333333
10,2017-06,12,3,0.333333333333
11,2017-05,9,-3,-0.25
12,2017-04,12,-3,-0.2
13,2017-03,15,9,1.5
14,2017-02,6,2,0.5
15,2017-01,4,-6,-0.6
16,2016-12,10,-5,-0.333333333333
17,2016-11,15,2,0.153846153846
18,2016-10,13,3,0.3
19,2016-09,10,-7,-0.411764705882
20,2016-08,17,6,0.545454545455
21,2016-07,11,4,0.571428571429
22,2016-06,7,-18,-0.72
23,2016-05,25,15,1.5
24,2016-04,10,6,1.5
25,2016-03,4,1,0.333333333333
26,2016-02,3,-1,-0.25
27,2016-01,4,-4,-0.5
28,2015-12,8,2,0.333333333333
29,2015-11,6,-2,-0.25
30,2015-10,8,2,0.333333333333
31,2015-09,6,4,2.0
32,2015-08,2,-2,-0.5
33,2015-07,4,0,0.0
