,date,nums,increment,ratio
0,2017-12,1,-1,-0.5
1,2017-11,2,1,1.0
2,2017-10,1,0,0.0
3,2017-09,1,-4,-0.8
4,2017-02,5,3,1.5
5,2016-07,2,1,1.0
6,2016-05,1,0,0.0
7,2016-02,1,-4,-0.8
8,2015-10,5,4,4.0
9,2015-09,1,-1,-0.5
10,2015-08,2,1,1.0
11,2015-06,1,0,0.0
12,2015-05,1,-5,-0.833333333333
13,2015-03,6,1,0.2
14,2015-02,5,2,0.666666666667
15,2015-01,3,-16,-0.842105263158
16,2014-12,19,10,1.11111111111
17,2014-11,9,8,8.0
18,2014-10,1,0,0.0
19,2014-09,1,-11,-0.916666666667
20,2014-08,12,9,3.0
21,2014-07,3,-9,-0.75
22,2014-05,12,4,0.5
23,2014-04,8,5,1.66666666667
24,2014-02,3,-1,-0.25
25,2014-01,4,-1,-0.2
26,2013-12,5,3,1.5
27,2013-11,2,-2,-0.5
28,2013-10,4,-21,-0.84
29,2013-08,25,5,0.25
30,2013-07,20,15,3.0
31,2013-05,5,-9,-0.642857142857
32,2013-04,14,2,0.166666666667
33,2013-03,12,8,2.0
34,2013-02,4,-2,-0.333333333333
35,2013-01,6,3,1.0
36,2012-12,3,-18,-0.857142857143
37,2012-11,21,0,0.0
