,date,nums,increment,ratio
0,2018-04,50,-2,-0.0384615384615
1,2018-03,52,2,0.04
2,2018-02,50,6,0.136363636364
3,2018-01,44,12,0.375
4,2017-12,32,-15,-0.31914893617
5,2017-11,47,-14,-0.229508196721
6,2017-10,61,-3,-0.046875
7,2017-09,64,2,0.0322580645161
8,2017-08,62,8,0.148148148148
9,2017-07,54,-20,-0.27027027027
10,2017-06,74,9,0.138461538462
11,2017-05,65,28,0.756756756757
12,2017-04,37,-31,-0.455882352941
13,2017-03,68,7,0.114754098361
14,2017-02,61,18,0.418604651163
15,2017-01,43,-14,-0.245614035088
16,2016-12,57,8,0.163265306122
17,2016-11,49,5,0.113636363636
18,2016-10,44,-4,-0.0833333333333
19,2016-09,48,-5,-0.0943396226415
20,2016-08,53,4,0.0816326530612
21,2016-07,49,-23,-0.319444444444
22,2016-06,72,3,0.0434782608696
23,2016-05,69,-23,-0.25
24,2016-04,92,-137,-0.598253275109
25,2016-03,229,26,0.128078817734
26,2016-02,203,-48,-0.191235059761
27,2016-01,251,53,0.267676767677
28,2015-12,198,63,0.466666666667
29,2015-11,135,10,0.08
30,2015-10,125,-4,-0.031007751938
31,2015-09,129,-45,-0.258620689655
32,2015-08,174,33,0.234042553191
33,2015-07,141,36,0.342857142857
34,2015-06,105,10,0.105263157895
35,2015-05,95,-19,-0.166666666667
36,2015-04,114,-46,-0.2875
37,2015-03,160,34,0.269841269841
38,2015-02,126,28,0.285714285714
39,2015-01,98,-91,-0.481481481481
40,2014-12,189,-75,-0.284090909091
41,2014-11,264,101,0.61963190184
42,2014-10,163,-8,-0.046783625731
43,2014-09,171,-72,-0.296296296296
44,2014-08,243,90,0.588235294118
45,2014-07,153,-78,-0.337662337662
46,2014-06,231,71,0.44375
47,2014-05,160,-121,-0.430604982206
48,2014-04,281,26,0.101960784314
49,2014-03,255,106,0.711409395973
50,2014-02,149,-5,-0.0324675324675
51,2014-01,154,-102,-0.3984375
52,2013-12,256,55,0.273631840796
53,2013-11,201,121,1.5125
54,2013-10,80,-29,-0.266055045872
55,2013-09,109,-155,-0.587121212121
56,2013-08,264,35,0.152838427948
57,2013-07,229,143,1.66279069767
58,2013-06,86,-127,-0.596244131455
59,2013-05,213,62,0.41059602649
60,2013-04,151,-84,-0.357446808511
61,2013-03,235,104,0.793893129771
62,2013-02,131,-16,-0.108843537415
63,2013-01,147,32,0.278260869565
64,2012-12,115,-3,-0.0254237288136
65,2012-11,118,81,2.18918918919
66,2012-10,37,0,0.0
