,date,nums,increment,ratio
0,2018-04,32,-10,-0.238095238095
1,2018-03,42,12,0.4
2,2018-02,30,-16,-0.347826086957
3,2018-01,46,10,0.277777777778
4,2017-12,36,-9,-0.2
5,2017-11,45,5,0.125
6,2017-10,40,2,0.0526315789474
7,2017-09,38,6,0.1875
8,2017-08,32,-13,-0.288888888889
9,2017-07,45,4,0.0975609756098
10,2017-06,41,-6,-0.127659574468
11,2017-05,47,5,0.119047619048
12,2017-04,42,2,0.05
13,2017-03,40,6,0.176470588235
14,2017-02,34,7,0.259259259259
15,2017-01,27,-17,-0.386363636364
16,2016-12,44,3,0.0731707317073
17,2016-11,41,5,0.138888888889
18,2016-10,36,-1,-0.027027027027
19,2016-09,37,5,0.15625
20,2016-08,32,-9,-0.219512195122
21,2016-07,41,13,0.464285714286
22,2016-06,28,-3,-0.0967741935484
23,2016-05,31,-17,-0.354166666667
24,2016-04,48,23,0.92
25,2016-03,25,-10,-0.285714285714
26,2016-02,35,8,0.296296296296
27,2016-01,27,8,0.421052631579
28,2015-12,19,-17,-0.472222222222
29,2015-11,36,21,1.4
30,2015-10,15,0,0.0
31,2015-09,15,-4,-0.210526315789
32,2015-08,19,-1,-0.05
33,2015-07,20,4,0.25
34,2015-06,16,-3,-0.157894736842
35,2015-05,19,-8,-0.296296296296
36,2015-04,27,9,0.5
37,2015-03,18,8,0.8
38,2015-02,10,-4,-0.285714285714
39,2015-01,14,3,0.272727272727
40,2014-12,11,-14,-0.56
41,2014-11,25,9,0.5625
42,2014-10,16,7,0.777777777778
43,2014-09,9,1,0.125
44,2014-08,8,-2,-0.2
45,2014-07,10,2,0.25
46,2014-06,8,-11,-0.578947368421
47,2014-05,19,14,2.8
48,2014-04,5,-2,-0.285714285714
49,2014-03,7,-4,-0.363636363636
50,2014-02,11,8,2.66666666667
51,2014-01,3,-6,-0.666666666667
52,2013-12,9,-2,-0.181818181818
53,2013-11,11,3,0.375
54,2013-10,8,4,1.0
55,2013-09,4,-1,-0.2
56,2013-08,5,-2,-0.285714285714
57,2013-07,7,5,2.5
58,2013-06,2,-1,-0.333333333333
59,2013-05,3,0,0.0
60,2013-04,3,-5,-0.625
61,2013-03,8,0,0.0
62,2013-02,8,5,1.66666666667
63,2013-01,3,-1,-0.25
64,2012-12,4,-1,-0.2
65,2012-11,5,-9,-0.642857142857
66,2012-10,14,0,0.0
