,date,nums,increment,ratio
0,2018-05,6,-157,-0.963190184049
1,2018-04,163,44,0.36974789916
2,2018-03,119,-8,-0.0629921259843
3,2018-02,127,11,0.0948275862069
4,2018-01,116,47,0.68115942029
5,2017-12,69,-31,-0.31
6,2017-11,100,-46,-0.315068493151
7,2017-10,146,1,0.00689655172414
8,2017-09,145,24,0.198347107438
9,2017-08,121,-2,-0.0162601626016
10,2017-07,123,-27,-0.18
11,2017-06,150,39,0.351351351351
12,2017-05,111,18,0.193548387097
13,2017-04,93,-63,-0.403846153846
14,2017-03,156,63,0.677419354839
15,2017-02,93,8,0.0941176470588
16,2017-01,85,2,0.0240963855422
17,2016-12,83,-11,-0.117021276596
18,2016-11,94,-8,-0.078431372549
19,2016-10,102,-9,-0.0810810810811
20,2016-09,111,-1,-0.00892857142857
21,2016-08,112,16,0.166666666667
22,2016-07,96,-72,-0.428571428571
23,2016-06,168,32,0.235294117647
24,2016-05,136,-3,-0.0215827338129
25,2016-04,139,-59,-0.29797979798
26,2016-03,198,-9,-0.0434782608696
27,2016-02,207,24,0.131147540984
28,2016-01,183,22,0.136645962733
29,2015-12,161,42,0.352941176471
30,2015-11,119,12,0.11214953271
31,2015-10,107,7,0.07
32,2015-09,100,-6,-0.0566037735849
33,2015-08,106,6,0.06
34,2015-07,100,23,0.298701298701
35,2015-06,77,-2,-0.0253164556962
36,2015-05,79,6,0.0821917808219
37,2015-04,73,-24,-0.247422680412
38,2015-03,97,14,0.168674698795
39,2015-02,83,7,0.0921052631579
40,2015-01,76,-6,-0.0731707317073
41,2014-12,82,-19,-0.188118811881
42,2014-11,101,58,1.3488372093
43,2014-10,43,-12,-0.218181818182
44,2014-09,55,-11,-0.166666666667
45,2014-08,66,38,1.35714285714
46,2014-07,28,-25,-0.471698113208
47,2014-06,53,7,0.152173913043
48,2014-05,46,-28,-0.378378378378
49,2014-04,74,33,0.80487804878
50,2014-03,41,8,0.242424242424
51,2014-02,33,-4,-0.108108108108
52,2014-01,37,11,0.423076923077
53,2013-12,26,-3,-0.103448275862
54,2013-11,29,-3,-0.09375
55,2013-10,32,13,0.684210526316
56,2013-09,19,-9,-0.321428571429
57,2013-08,28,-2,-0.0666666666667
58,2013-07,30,9,0.428571428571
59,2013-06,21,-3,-0.125
60,2013-05,24,4,0.2
61,2013-04,20,2,0.111111111111
62,2013-03,18,-2,-0.1
63,2013-02,20,-6,-0.230769230769
64,2013-01,26,15,1.36363636364
65,2012-12,11,-6,-0.352941176471
66,2012-11,17,-3,-0.15
67,2012-10,20,0,0.0
