,date,nums,increment,ratio
0,2018-05,2,-100,-0.980392156863
1,2018-04,102,40,0.645161290323
2,2018-03,62,-15,-0.194805194805
3,2018-02,77,7,0.1
4,2018-01,70,34,0.944444444444
5,2017-12,36,-31,-0.462686567164
6,2017-11,67,-17,-0.202380952381
7,2017-10,84,-3,-0.0344827586207
8,2017-09,87,18,0.260869565217
9,2017-08,69,-6,-0.08
10,2017-07,75,-22,-0.226804123711
11,2017-06,97,29,0.426470588235
12,2017-05,68,18,0.36
13,2017-04,50,-44,-0.468085106383
14,2017-03,94,26,0.382352941176
15,2017-02,68,16,0.307692307692
16,2017-01,52,-2,-0.037037037037
17,2016-12,54,-15,-0.217391304348
18,2016-11,69,7,0.112903225806
19,2016-10,62,-6,-0.0882352941176
20,2016-09,68,-4,-0.0555555555556
21,2016-08,72,18,0.333333333333
22,2016-07,54,-75,-0.581395348837
23,2016-06,129,49,0.6125
24,2016-05,80,-13,-0.139784946237
25,2016-04,93,-53,-0.36301369863
26,2016-03,146,1,0.00689655172414
27,2016-02,145,13,0.0984848484848
28,2016-01,132,25,0.233644859813
29,2015-12,107,24,0.289156626506
30,2015-11,83,16,0.238805970149
31,2015-10,67,-8,-0.106666666667
32,2015-09,75,-10,-0.117647058824
33,2015-08,85,16,0.231884057971
34,2015-07,69,12,0.210526315789
35,2015-06,57,-4,-0.0655737704918
36,2015-05,61,1,0.0166666666667
37,2015-04,60,-16,-0.210526315789
38,2015-03,76,9,0.134328358209
39,2015-02,67,5,0.0806451612903
40,2015-01,62,-17,-0.215189873418
41,2014-12,79,-10,-0.112359550562
42,2014-11,89,63,2.42307692308
43,2014-10,26,-12,-0.315789473684
44,2014-09,38,-3,-0.0731707317073
45,2014-08,41,20,0.952380952381
46,2014-07,21,-25,-0.54347826087
47,2014-06,46,10,0.277777777778
48,2014-05,36,-22,-0.379310344828
49,2014-04,58,23,0.657142857143
50,2014-03,35,12,0.521739130435
51,2014-02,23,0,0.0
52,2014-01,23,2,0.0952380952381
53,2013-12,21,-3,-0.125
54,2013-11,24,0,0.0
55,2013-10,24,6,0.333333333333
56,2013-09,18,-5,-0.217391304348
57,2013-08,23,2,0.0952380952381
58,2013-07,21,12,1.33333333333
59,2013-06,9,-8,-0.470588235294
60,2013-05,17,6,0.545454545455
61,2013-04,11,0,0.0
62,2013-03,11,2,0.222222222222
63,2013-02,9,-7,-0.4375
64,2013-01,16,6,0.6
65,2012-12,10,0,0.0
66,2012-11,10,-1,-0.0909090909091
67,2012-10,11,0,0.0
