,date,nums,increment,ratio
0,2018-04,4,3,3.0
1,2018-03,1,-14,-0.933333333333
2,2018-02,15,-15,-0.5
3,2018-01,30,24,4.0
4,2017-12,6,2,0.5
5,2017-11,4,1,0.333333333333
6,2017-10,3,-5,-0.625
7,2017-09,8,-7,-0.466666666667
8,2017-08,15,6,0.666666666667
9,2017-07,9,1,0.125
10,2017-06,8,-2,-0.2
11,2017-05,10,-30,-0.75
12,2017-04,40,37,12.3333333333
13,2017-03,3,0,0.0
14,2017-02,3,1,0.5
15,2017-01,2,0,0.0
16,2016-10,2,-5,-0.714285714286
17,2016-09,7,-1,-0.125
18,2016-08,8,-17,-0.68
19,2016-07,25,21,5.25
20,2016-06,4,0,0.0
21,2016-05,4,-2,-0.333333333333
22,2016-04,6,2,0.5
23,2016-03,4,-9,-0.692307692308
24,2016-02,13,11,5.5
25,2016-01,2,-2,-0.5
26,2015-12,4,-3,-0.428571428571
27,2015-10,7,-4,-0.363636363636
28,2015-07,11,-10,-0.47619047619
29,2015-06,21,20,20.0
30,2015-04,1,-1,-0.5
31,2015-03,2,0,0.0
32,2015-01,2,1,1.0
33,2014-12,1,0,0.0
34,2014-09,1,0,0.0
35,2014-06,1,-4,-0.8
36,2014-05,5,2,0.666666666667
37,2013-12,3,-10,-0.769230769231
38,2013-05,13,9,2.25
39,2013-03,4,2,1.0
40,2012-02,2,-2,-0.5
41,2012-01,4,1,0.333333333333
42,2011-12,3,0,0.0
43,2011-10,3,0,0.0
