,date,nums,increment,ratio
0,2018-04,86,-125,-0.592417061611
1,2018-03,211,71,0.507142857143
2,2018-02,140,53,0.609195402299
3,2018-01,87,30,0.526315789474
4,2017-12,57,-15,-0.208333333333
5,2017-11,72,-63,-0.466666666667
6,2017-10,135,-3,-0.0217391304348
7,2017-09,138,-118,-0.4609375
8,2017-08,256,242,17.2857142857
9,2017-07,14,-8,-0.363636363636
10,2017-06,22,-109,-0.832061068702
11,2017-05,131,19,0.169642857143
12,2017-04,112,-36,-0.243243243243
13,2017-03,148,65,0.78313253012
14,2017-02,83,-68,-0.450331125828
15,2017-01,151,18,0.135338345865
16,2016-12,133,-28,-0.173913043478
17,2016-11,161,-32,-0.165803108808
18,2016-10,193,8,0.0432432432432
19,2016-09,185,23,0.141975308642
20,2016-08,162,-96,-0.372093023256
21,2016-07,258,39,0.178082191781
22,2016-06,219,37,0.203296703297
23,2016-05,182,51,0.389312977099
24,2016-04,131,-63,-0.324742268041
25,2016-03,194,30,0.182926829268
26,2016-02,164,100,1.5625
27,2016-01,64,-62,-0.492063492063
28,2015-12,126,12,0.105263157895
29,2015-11,114,-35,-0.234899328859
30,2015-10,149,67,0.817073170732
31,2015-09,82,-16,-0.163265306122
32,2015-08,98,-18,-0.155172413793
33,2015-07,116,27,0.303370786517
34,2015-06,89,-41,-0.315384615385
35,2015-05,130,-12,-0.0845070422535
36,2015-04,142,-12,-0.0779220779221
37,2015-03,154,-39,-0.20207253886
38,2015-02,193,92,0.910891089109
39,2015-01,101,-3,-0.0288461538462
40,2014-12,104,-32,-0.235294117647
41,2014-11,136,-32,-0.190476190476
42,2014-10,168,37,0.282442748092
43,2014-09,131,-23,-0.149350649351
44,2014-08,154,8,0.0547945205479
45,2014-07,146,-59,-0.287804878049
46,2014-06,205,60,0.413793103448
47,2014-05,145,-8,-0.0522875816993
48,2014-04,153,36,0.307692307692
49,2014-03,117,31,0.360465116279
50,2014-02,86,20,0.30303030303
51,2014-01,66,-30,-0.3125
52,2013-12,96,-37,-0.278195488722
53,2013-11,133,-52,-0.281081081081
54,2013-10,185,-74,-0.285714285714
55,2013-09,259,-99,-0.276536312849
56,2013-08,358,109,0.437751004016
57,2013-07,249,20,0.0873362445415
58,2013-06,229,16,0.075117370892
59,2013-05,213,45,0.267857142857
60,2013-04,168,-56,-0.25
61,2013-03,224,54,0.317647058824
62,2013-02,170,-40,-0.190476190476
63,2013-01,210,48,0.296296296296
64,2012-12,162,-142,-0.467105263158
65,2012-11,304,101,0.497536945813
66,2012-10,203,-68,-0.250922509225
67,2012-09,271,-92,-0.253443526171
68,2012-08,363,-37,-0.0925
69,2012-07,400,133,0.498127340824
70,2012-06,267,89,0.5
71,2012-05,178,38,0.271428571429
72,2012-04,140,-52,-0.270833333333
73,2012-03,192,-27,-0.123287671233
74,2012-02,219,-38,-0.147859922179
75,2012-01,257,118,0.848920863309
76,2011-12,139,-41,-0.227777777778
77,2011-11,180,-3,-0.016393442623
78,2011-10,183,-33,-0.152777777778
79,2011-09,216,20,0.102040816327
80,2011-08,196,81,0.704347826087
81,2011-07,115,65,1.3
82,2011-06,50,-108,-0.683544303797
83,2011-05,158,83,1.10666666667
84,2011-04,75,-14,-0.157303370787
85,2011-03,89,14,0.186666666667
86,2011-02,75,20,0.363636363636
87,2011-01,55,12,0.279069767442
88,2010-12,43,-18,-0.295081967213
89,2010-11,61,-13,-0.175675675676
90,2010-10,74,20,0.37037037037
91,2010-09,54,33,1.57142857143
92,2010-08,21,-56,-0.727272727273
93,2010-07,77,-39,-0.336206896552
94,2010-06,116,-35,-0.23178807947
95,2010-05,151,19,0.143939393939
96,2010-04,132,66,1.0
97,2010-03,66,20,0.434782608696
98,2010-02,46,3,0.0697674418605
99,2010-01,43,-1,-0.0227272727273
100,2009-12,44,-12,-0.214285714286
101,2009-11,56,20,0.555555555556
102,2009-10,36,-45,-0.555555555556
103,2009-09,81,-47,-0.3671875
104,2009-08,128,32,0.333333333333
105,2009-07,96,2,0.0212765957447
106,2009-06,94,16,0.205128205128
107,2009-05,78,-14,-0.152173913043
108,2009-04,92,64,2.28571428571
109,2009-03,28,0,0.0
