,date,nums,increment,ratio
0,2018-04,92,-49,-0.347517730496
1,2018-03,141,54,0.620689655172
2,2018-02,87,-2,-0.0224719101124
3,2018-01,89,13,0.171052631579
4,2017-12,76,-2,-0.025641025641
5,2017-11,78,5,0.0684931506849
6,2017-10,73,0,0.0
7,2017-09,73,-12,-0.141176470588
8,2017-08,85,38,0.808510638298
9,2017-07,47,-25,-0.347222222222
10,2017-06,72,7,0.107692307692
11,2017-05,65,-11,-0.144736842105
12,2017-04,76,-3,-0.0379746835443
13,2017-03,79,12,0.179104477612
14,2017-02,67,-19,-0.220930232558
15,2017-01,86,18,0.264705882353
16,2016-12,68,-22,-0.244444444444
17,2016-11,90,12,0.153846153846
18,2016-10,78,-4,-0.0487804878049
19,2016-09,82,-14,-0.145833333333
20,2016-08,96,-18,-0.157894736842
21,2016-07,114,39,0.52
22,2016-06,75,9,0.136363636364
23,2016-05,66,-2,-0.0294117647059
24,2016-04,68,-32,-0.32
25,2016-03,100,-197,-0.6632996633
26,2016-02,297,284,21.8461538462
27,2016-01,13,10,3.33333333333
28,2015-12,3,-1,-0.25
29,2015-11,4,2,1.0
30,2015-10,2,0,0.0
31,2015-09,2,1,1.0
32,2015-08,1,0,0.0
33,2015-07,1,0,0.0
34,2015-06,1,-2,-0.666666666667
35,2015-05,3,-1,-0.25
36,2015-04,4,3,3.0
37,2015-03,1,-1,-0.5
38,2015-02,2,-5,-0.714285714286
39,2015-01,7,0,0.0
40,2014-12,7,5,2.5
41,2014-11,2,0,0.0
42,2014-09,2,1,1.0
43,2014-07,1,0,0.0
44,2014-04,1,0,0.0
45,2014-03,1,-1,-0.5
46,2014-02,2,1,1.0
47,2014-01,1,-1,-0.5
48,2013-12,2,1,1.0
49,2013-10,1,0,0.0
50,2013-09,1,0,0.0
51,2013-08,1,-1,-0.5
52,2013-07,2,1,1.0
53,2013-05,1,-1,-0.5
54,2013-04,2,1,1.0
55,2013-02,1,0,0.0
56,2012-12,1,-1,-0.5
57,2012-10,2,0,0.0
