,date,nums,increment,ratio
0,2018-04,36,-16,-0.307692307692
1,2018-03,52,28,1.16666666667
2,2018-02,24,-7,-0.225806451613
3,2018-01,31,-1,-0.03125
4,2017-12,32,-3,-0.0857142857143
5,2017-11,35,24,2.18181818182
6,2017-10,11,3,0.375
7,2017-09,8,-8,-0.5
8,2017-08,16,9,1.28571428571
9,2017-07,7,-16,-0.695652173913
10,2017-06,23,13,1.3
11,2017-05,10,1,0.111111111111
12,2017-04,9,-9,-0.5
13,2017-03,18,7,0.636363636364
14,2017-02,11,1,0.1
15,2017-01,10,-6,-0.375
16,2016-12,16,-1,-0.0588235294118
17,2016-11,17,-5,-0.227272727273
18,2016-10,22,-1,-0.0434782608696
19,2016-09,23,3,0.15
20,2016-08,20,-18,-0.473684210526
21,2016-07,38,26,2.16666666667
22,2016-06,12,-13,-0.52
23,2016-05,25,9,0.5625
24,2016-04,16,-10,-0.384615384615
25,2016-03,26,17,1.88888888889
26,2016-02,9,-4,-0.307692307692
27,2016-01,13,10,3.33333333333
28,2015-12,3,-1,-0.25
29,2015-11,4,2,1.0
30,2015-10,2,0,0.0
31,2015-09,2,1,1.0
32,2015-08,1,0,0.0
33,2015-07,1,0,0.0
34,2015-06,1,-2,-0.666666666667
35,2015-05,3,-1,-0.25
36,2015-04,4,3,3.0
37,2015-03,1,-1,-0.5
38,2015-02,2,-5,-0.714285714286
39,2015-01,7,0,0.0
40,2014-12,7,5,2.5
41,2014-11,2,0,0.0
42,2014-09,2,1,1.0
43,2014-07,1,0,0.0
44,2014-04,1,0,0.0
45,2014-03,1,-1,-0.5
46,2014-02,2,1,1.0
47,2014-01,1,-1,-0.5
48,2013-12,2,1,1.0
49,2013-10,1,0,0.0
50,2013-09,1,0,0.0
51,2013-08,1,-1,-0.5
52,2013-07,2,1,1.0
53,2013-05,1,-1,-0.5
54,2013-04,2,1,1.0
55,2013-02,1,0,0.0
56,2012-12,1,-1,-0.5
57,2012-10,2,0,0.0
