,date,nums,increment,ratio
0,2018-04,50,-1,-0.0196078431373
1,2018-03,51,1,0.02
2,2018-02,50,-8,-0.137931034483
3,2018-01,58,-8,-0.121212121212
4,2017-12,66,15,0.294117647059
5,2017-11,51,-2,-0.0377358490566
6,2017-10,53,-11,-0.171875
7,2017-09,64,3,0.0491803278689
8,2017-08,61,14,0.297872340426
9,2017-07,47,-1,-0.0208333333333
10,2017-06,48,-3,-0.0588235294118
11,2017-05,51,0,0.0
12,2017-04,51,-6,-0.105263157895
13,2017-03,57,13,0.295454545455
14,2017-02,44,1,0.0232558139535
15,2017-01,43,-10,-0.188679245283
16,2016-12,53,20,0.606060606061
17,2016-11,33,-8,-0.19512195122
18,2016-10,41,1,0.025
19,2016-09,40,-6,-0.130434782609
20,2016-08,46,-1,-0.0212765957447
21,2016-07,47,7,0.175
22,2016-06,40,0,0.0
23,2016-05,40,0,0.0
24,2016-04,40,-4,-0.0909090909091
25,2016-03,44,-7,-0.137254901961
26,2016-02,51,19,0.59375
27,2016-01,32,6,0.230769230769
28,2015-12,26,6,0.3
29,2015-11,20,3,0.176470588235
30,2015-10,17,-3,-0.15
31,2015-09,20,-3,-0.130434782609
32,2015-08,23,0,0.0
33,2015-07,23,9,0.642857142857
34,2015-06,14,-1,-0.0666666666667
35,2015-05,15,-5,-0.25
36,2015-04,20,-6,-0.230769230769
37,2015-03,26,8,0.444444444444
38,2015-02,18,0,0.0
39,2015-01,18,8,0.8
40,2014-12,10,-1,-0.0909090909091
41,2014-11,11,-6,-0.352941176471
42,2014-10,17,2,0.133333333333
43,2014-09,15,1,0.0714285714286
44,2014-08,14,1,0.0769230769231
45,2014-07,13,-1,-0.0714285714286
46,2014-06,14,1,0.0769230769231
47,2014-05,13,-3,-0.1875
48,2014-04,16,4,0.333333333333
49,2014-03,12,-2,-0.142857142857
50,2014-02,14,4,0.4
51,2014-01,10,-4,-0.285714285714
52,2013-12,14,7,1.0
53,2013-11,7,-1,-0.125
54,2013-10,8,0,0.0
55,2013-09,8,-1,-0.111111111111
56,2013-08,9,4,0.8
57,2013-07,5,-7,-0.583333333333
58,2013-06,12,5,0.714285714286
59,2013-05,7,-10,-0.588235294118
60,2013-04,17,6,0.545454545455
61,2013-03,11,6,1.2
62,2013-02,5,3,1.5
63,2012-10,2,1,1.0
64,2012-07,1,0,0.0
65,2012-06,1,-2,-0.666666666667
66,2012-05,3,1,0.5
67,2012-04,2,-2,-0.5
68,2012-03,4,2,1.0
69,2012-02,2,-1,-0.333333333333
70,2012-01,3,2,2.0
71,2011-12,1,-2,-0.666666666667
72,2011-11,3,1,0.5
73,2011-10,2,0,0.0
74,2011-09,2,1,1.0
75,2011-08,1,-68,-0.985507246377
76,2011-07,69,0,0.0
