,date,nums,increment,ratio
0,2018-03,2,1,1.0
1,2018-02,1,-1,-0.5
2,2018-01,2,0,0.0
3,2017-11,2,0,0.0
4,2017-09,2,-2,-0.5
5,2017-08,4,3,3.0
6,2017-03,1,0,0.0
7,2016-11,1,0,0.0
8,2016-10,1,-1,-0.5
9,2016-08,2,-2,-0.5
10,2016-07,4,-1,-0.2
11,2016-06,5,3,1.5
12,2016-02,2,0,0.0
13,2016-01,2,1,1.0
14,2015-12,1,0,0.0
15,2015-08,1,0,0.0
16,2015-06,1,0,0.0
17,2015-05,1,-4,-0.8
18,2015-03,5,3,1.5
19,2014-12,2,0,0.0
20,2014-11,2,1,1.0
21,2014-09,1,-2,-0.666666666667
22,2014-07,3,2,2.0
23,2014-05,1,0,0.0
24,2014-04,1,-1,-0.5
25,2014-03,2,0,0.0
26,2014-01,2,-3,-0.6
27,2013-12,5,0,0.0
