,date,nums,increment,ratio
0,2018-04,62,4,0.0689655172414
1,2018-03,58,9,0.183673469388
2,2018-02,49,-148,-0.751269035533
3,2018-01,197,18,0.100558659218
4,2017-12,179,76,0.73786407767
5,2017-11,103,46,0.80701754386
6,2017-10,57,11,0.239130434783
7,2017-09,46,-33,-0.417721518987
8,2017-08,79,47,1.46875
9,2017-07,32,-12,-0.272727272727
10,2017-06,44,-50,-0.531914893617
11,2017-05,94,25,0.36231884058
12,2017-04,69,11,0.189655172414
13,2017-03,58,-6,-0.09375
14,2017-02,64,24,0.6
15,2017-01,40,-2,-0.047619047619
16,2016-12,42,-30,-0.416666666667
17,2016-11,72,16,0.285714285714
18,2016-10,56,41,2.73333333333
19,2016-09,15,-8,-0.347826086957
20,2016-08,23,-71,-0.755319148936
21,2016-07,94,-138,-0.594827586207
22,2016-06,232,110,0.901639344262
23,2016-05,122,52,0.742857142857
24,2016-04,70,-38,-0.351851851852
25,2016-03,108,-10,-0.0847457627119
26,2016-02,118,-55,-0.317919075145
27,2016-01,173,2,0.0116959064327
28,2015-12,171,-84,-0.329411764706
29,2015-11,255,84,0.491228070175
30,2015-10,171,73,0.744897959184
31,2015-09,98,49,1.0
32,2015-08,49,14,0.4
33,2015-07,35,-11,-0.239130434783
34,2015-06,46,-5,-0.0980392156863
35,2015-05,51,20,0.645161290323
36,2015-04,31,-18,-0.367346938776
37,2015-03,49,12,0.324324324324
38,2015-02,37,-86,-0.69918699187
39,2015-01,123,49,0.662162162162
40,2014-12,74,-29,-0.281553398058
41,2014-11,103,31,0.430555555556
42,2014-10,72,-19,-0.208791208791
43,2014-09,91,65,2.5
44,2014-08,26,-47,-0.643835616438
45,2014-07,73,-56,-0.434108527132
46,2014-06,129,54,0.72
47,2014-05,75,-41,-0.353448275862
48,2014-04,116,-9,-0.072
49,2014-03,125,100,4.0
50,2014-02,25,-45,-0.642857142857
51,2014-01,70,18,0.346153846154
52,2013-12,52,-10,-0.161290322581
53,2013-11,62,34,1.21428571429
54,2013-10,28,-27,-0.490909090909
55,2013-09,55,13,0.309523809524
56,2013-08,42,9,0.272727272727
57,2013-07,33,-1,-0.0294117647059
58,2013-06,34,32,16.0
59,2013-05,2,0,0.0
