,date,nums,increment,ratio
0,2018-04,208,-55,-0.209125475285
1,2018-03,263,139,1.12096774194
2,2018-02,124,-210,-0.62874251497
3,2018-01,334,100,0.42735042735
4,2017-12,234,26,0.125
5,2017-11,208,34,0.195402298851
6,2017-10,174,2,0.0116279069767
7,2017-09,172,-3,-0.0171428571429
8,2017-08,175,34,0.241134751773
9,2017-07,141,-14,-0.0903225806452
10,2017-06,155,25,0.192307692308
11,2017-05,130,-33,-0.20245398773
12,2017-04,163,-15,-0.0842696629213
13,2017-03,178,63,0.547826086957
14,2017-02,115,-3,-0.0254237288136
15,2017-01,118,-41,-0.25786163522
16,2016-12,159,2,0.0127388535032
17,2016-11,157,41,0.353448275862
18,2016-10,116,-15,-0.114503816794
19,2016-09,131,-28,-0.176100628931
20,2016-08,159,-14,-0.0809248554913
21,2016-07,173,18,0.116129032258
22,2016-06,155,-9,-0.0548780487805
23,2016-05,164,8,0.0512820512821
24,2016-04,156,-14,-0.0823529411765
25,2016-03,170,80,0.888888888889
26,2016-02,90,-126,-0.583333333333
27,2016-01,216,24,0.125
28,2015-12,192,45,0.30612244898
29,2015-11,147,39,0.361111111111
30,2015-10,108,-5,-0.0442477876106
31,2015-09,113,5,0.0462962962963
32,2015-08,108,-58,-0.349397590361
33,2015-07,166,34,0.257575757576
34,2015-06,132,6,0.047619047619
35,2015-05,126,12,0.105263157895
36,2015-04,114,1,0.00884955752212
37,2015-03,113,27,0.313953488372
38,2015-02,86,-159,-0.648979591837
39,2015-01,245,129,1.11206896552
40,2014-12,116,11,0.104761904762
41,2014-11,105,37,0.544117647059
42,2014-10,68,-8,-0.105263157895
43,2014-09,76,2,0.027027027027
44,2014-08,74,-80,-0.519480519481
45,2014-07,154,79,1.05333333333
46,2014-06,75,18,0.315789473684
47,2014-05,57,-13,-0.185714285714
48,2014-04,70,43,1.59259259259
49,2014-03,27,11,0.6875
50,2014-02,16,-68,-0.809523809524
51,2014-01,84,48,1.33333333333
52,2013-12,36,-19,-0.345454545455
53,2013-11,55,36,1.89473684211
54,2013-10,19,-5,-0.208333333333
55,2013-09,24,-26,-0.52
56,2013-08,50,-62,-0.553571428571
57,2013-07,112,107,21.4
58,2013-06,5,0,0.0
