,date,nums,increment,ratio
0,2018-04,13,10,3.33333333333
1,2018-03,3,-3,-0.5
2,2018-02,6,4,2.0
3,2018-01,2,1,1.0
4,2017-12,1,0,0.0
5,2017-11,1,-1,-0.5
6,2017-10,2,-3,-0.6
7,2017-09,5,-9,-0.642857142857
8,2017-08,14,1,0.0769230769231
9,2017-07,13,9,2.25
10,2017-06,4,-11,-0.733333333333
11,2017-05,15,6,0.666666666667
12,2017-04,9,5,1.25
13,2017-03,4,-51,-0.927272727273
14,2017-02,55,36,1.89473684211
15,2017-01,19,-55,-0.743243243243
16,2016-12,74,49,1.96
17,2016-11,25,21,5.25
18,2016-10,4,3,3.0
19,2016-09,1,-10,-0.909090909091
20,2016-08,11,0,0.0
21,2016-07,11,4,0.571428571429
22,2016-06,7,-1,-0.125
23,2016-05,8,-18,-0.692307692308
24,2016-04,26,24,12.0
25,2016-03,2,-9,-0.818181818182
26,2016-02,11,-7,-0.388888888889
27,2016-01,18,10,1.25
28,2015-12,8,-1,-0.111111111111
29,2015-11,9,-3,-0.25
30,2015-10,12,-10,-0.454545454545
31,2015-09,22,-3,-0.12
32,2015-08,25,13,1.08333333333
33,2015-07,12,2,0.2
34,2015-06,10,-1,-0.0909090909091
35,2015-05,11,-2,-0.153846153846
36,2015-04,13,-2,-0.133333333333
37,2015-03,15,6,0.666666666667
38,2015-02,9,4,0.8
39,2015-01,5,-6,-0.545454545455
40,2014-12,11,4,0.571428571429
41,2014-11,7,-12,-0.631578947368
42,2014-10,19,3,0.1875
43,2014-09,16,8,1.0
44,2014-08,8,-21,-0.724137931034
45,2014-07,29,18,1.63636363636
46,2014-06,11,-16,-0.592592592593
47,2014-05,27,5,0.227272727273
48,2014-04,22,1,0.047619047619
49,2014-03,21,2,0.105263157895
50,2014-02,19,-28,-0.595744680851
51,2014-01,47,36,3.27272727273
52,2013-12,11,-17,-0.607142857143
53,2013-11,28,15,1.15384615385
54,2013-10,13,-7,-0.35
55,2013-09,20,-10,-0.333333333333
56,2013-08,30,25,5.0
57,2013-07,5,-1,-0.166666666667
58,2013-06,6,4,2.0
59,2013-05,2,0,0.0
60,2013-04,2,-3,-0.6
61,2013-02,5,4,4.0
62,2012-11,1,0,0.0
63,2012-10,1,-1,-0.5
64,2012-09,2,0,0.0
65,2012-08,2,0,0.0
66,2012-07,2,-3,-0.6
67,2012-06,5,2,0.666666666667
68,2012-05,3,1,0.5
69,2012-04,2,-4,-0.666666666667
70,2012-02,6,-1,-0.142857142857
71,2012-01,7,4,1.33333333333
72,2011-12,3,-12,-0.8
73,2011-11,15,6,0.666666666667
74,2011-09,9,3,0.5
75,2011-07,6,4,2.0
76,2011-05,2,1,1.0
77,2011-04,1,-3,-0.75
78,2011-02,4,2,1.0
79,2010-12,2,0,0.0
80,2010-11,2,-2,-0.5
81,2010-09,4,3,3.0
82,2010-06,1,-1,-0.5
83,2010-04,2,0,0.0
