,date,nums,increment,ratio
0,2018-04,186,-62,-0.25
1,2018-03,248,23,0.102222222222
2,2018-02,225,-94,-0.294670846395
3,2018-01,319,80,0.334728033473
4,2017-12,239,-23,-0.087786259542
5,2017-11,262,98,0.59756097561
6,2017-10,164,-41,-0.2
7,2017-09,205,-43,-0.173387096774
8,2017-08,248,-88,-0.261904761905
9,2017-07,336,-37,-0.0991957104558
10,2017-06,373,-74,-0.165548098434
11,2017-05,447,70,0.185676392573
12,2017-04,377,167,0.795238095238
13,2017-03,210,-172,-0.450261780105
14,2017-02,382,-93,-0.195789473684
15,2017-01,475,101,0.270053475936
16,2016-12,374,-134,-0.263779527559
17,2016-11,508,114,0.289340101523
18,2016-10,394,-63,-0.137855579869
19,2016-09,457,-111,-0.195422535211
20,2016-08,568,-2,-0.00350877192982
21,2016-07,570,-201,-0.260700389105
22,2016-06,771,115,0.175304878049
23,2016-05,656,78,0.134948096886
24,2016-04,578,-289,-0.333333333333
25,2016-03,867,276,0.467005076142
26,2016-02,591,-298,-0.335208098988
27,2016-01,889,96,0.1210592686
28,2015-12,793,47,0.0630026809651
29,2015-11,746,73,0.108469539376
30,2015-10,673,-164,-0.195937873357
31,2015-09,837,-9,-0.0106382978723
32,2015-08,846,198,0.305555555556
33,2015-07,648,94,0.169675090253
34,2015-06,554,-194,-0.25935828877
35,2015-05,748,172,0.298611111111
36,2015-04,576,259,0.817034700315
37,2015-03,317,-28,-0.0811594202899
38,2015-02,345,130,0.604651162791
39,2015-01,215,-20,-0.0851063829787
40,2014-12,235,-134,-0.363143631436
41,2014-11,369,39,0.118181818182
42,2014-10,330,-41,-0.11051212938
43,2014-09,371,-71,-0.160633484163
44,2014-08,442,-19,-0.0412147505423
45,2014-07,461,229,0.987068965517
46,2014-06,232,-85,-0.268138801262
47,2014-05,317,-15,-0.0451807228916
48,2014-04,332,-53,-0.137662337662
49,2014-03,385,137,0.552419354839
50,2014-02,248,-280,-0.530303030303
51,2014-01,528,234,0.795918367347
52,2013-12,294,-13,-0.042345276873
53,2013-11,307,90,0.414746543779
54,2013-10,217,-132,-0.378223495702
55,2013-09,349,31,0.0974842767296
56,2013-08,318,53,0.2
57,2013-07,265,53,0.25
58,2013-06,212,-9,-0.0407239819005
59,2013-05,221,91,0.7
60,2013-04,130,-2,-0.0151515151515
61,2013-03,132,-28,-0.175
62,2013-02,160,28,0.212121212121
63,2013-01,132,38,0.404255319149
64,2012-12,94,-111,-0.541463414634
65,2012-11,205,170,4.85714285714
66,2012-10,35,-49,-0.583333333333
67,2012-09,84,4,0.05
68,2012-08,80,13,0.194029850746
69,2012-07,67,-62,-0.480620155039
70,2012-06,129,43,0.5
71,2012-05,86,16,0.228571428571
72,2012-04,70,-9,-0.113924050633
73,2012-03,79,-111,-0.584210526316
74,2012-02,190,29,0.180124223602
75,2012-01,161,8,0.0522875816993
76,2011-12,153,53,0.53
77,2011-11,100,32,0.470588235294
78,2011-10,68,-62,-0.476923076923
79,2011-09,130,-3,-0.0225563909774
80,2011-08,133,-20,-0.130718954248
81,2011-07,153,39,0.342105263158
82,2011-06,114,0,0.0
83,2011-05,114,-31,-0.213793103448
84,2011-04,145,27,0.228813559322
85,2011-03,118,-34,-0.223684210526
86,2011-02,152,7,0.048275862069
87,2011-01,145,26,0.218487394958
88,2010-12,119,-12,-0.0916030534351
89,2010-11,131,-29,-0.18125
90,2010-10,160,29,0.221374045802
91,2010-09,131,-81,-0.382075471698
92,2010-08,212,61,0.403973509934
93,2010-07,151,-10,-0.0621118012422
94,2010-06,161,-30,-0.157068062827
95,2010-05,191,32,0.201257861635
96,2010-04,159,23,0.169117647059
97,2010-03,136,18,0.152542372881
98,2010-02,118,0,0.0
