,date,nums,increment,ratio
0,2018-05,39,-524,-0.930728241563
1,2018-04,563,55,0.108267716535
2,2018-03,508,95,0.230024213075
3,2018-02,413,-37,-0.0822222222222
4,2018-01,450,-5,-0.010989010989
5,2017-12,455,19,0.0435779816514
6,2017-11,436,70,0.191256830601
7,2017-10,366,-46,-0.111650485437
8,2017-09,412,-80,-0.162601626016
9,2017-08,492,-11,-0.0218687872763
10,2017-07,503,-20,-0.038240917782
11,2017-06,523,-72,-0.121008403361
12,2017-05,595,36,0.0644007155635
13,2017-04,559,109,0.242222222222
14,2017-03,450,-205,-0.312977099237
15,2017-02,655,157,0.315261044177
16,2017-01,498,0,0.0
17,2016-12,498,-176,-0.261127596439
18,2016-11,674,160,0.311284046693
19,2016-10,514,73,0.165532879819
20,2016-09,441,-123,-0.218085106383
21,2016-08,564,60,0.119047619048
22,2016-07,504,-26,-0.0490566037736
23,2016-06,530,-64,-0.107744107744
24,2016-05,594,-17,-0.0278232405892
25,2016-04,611,19,0.0320945945946
26,2016-03,592,54,0.100371747212
27,2016-02,538,-66,-0.109271523179
28,2016-01,604,1,0.0016583747927
29,2015-12,603,-108,-0.151898734177
30,2015-11,711,177,0.331460674157
31,2015-10,534,-120,-0.183486238532
32,2015-09,654,13,0.0202808112324
33,2015-08,641,18,0.0288924558587
34,2015-07,623,97,0.184410646388
35,2015-06,526,-1,-0.00189753320683
36,2015-05,527,-27,-0.0487364620939
37,2015-04,554,127,0.297423887588
38,2015-03,427,13,0.0314009661836
39,2015-02,414,25,0.0642673521851
40,2015-01,389,-16,-0.0395061728395
41,2014-12,405,2,0.00496277915633
42,2014-11,403,31,0.0833333333333
43,2014-10,372,-43,-0.103614457831
44,2014-09,415,6,0.0146699266504
45,2014-08,409,-48,-0.105032822757
46,2014-07,457,163,0.554421768707
47,2014-06,294,-68,-0.187845303867
48,2014-05,362,-5,-0.0136239782016
49,2014-04,367,38,0.115501519757
50,2014-03,329,5,0.0154320987654
51,2014-02,324,-79,-0.196029776675
52,2014-01,403,133,0.492592592593
53,2013-12,270,-1,-0.00369003690037
54,2013-11,271,47,0.209821428571
55,2013-10,224,12,0.0566037735849
56,2013-09,212,32,0.177777777778
57,2013-08,180,32,0.216216216216
58,2013-07,148,3,0.0206896551724
59,2013-06,145,-21,-0.126506024096
60,2013-05,166,41,0.328
61,2013-04,125,3,0.0245901639344
62,2013-03,122,17,0.161904761905
63,2013-02,105,12,0.129032258065
64,2013-01,93,32,0.524590163934
65,2012-12,61,-18,-0.227848101266
66,2012-11,79,3,0.0394736842105
67,2012-10,76,3,0.041095890411
68,2012-09,73,-24,-0.247422680412
69,2012-08,97,40,0.701754385965
70,2012-07,57,-20,-0.25974025974
71,2012-06,77,-21,-0.214285714286
72,2012-05,98,29,0.420289855072
73,2012-04,69,-8,-0.103896103896
74,2012-03,77,-19,-0.197916666667
75,2012-02,96,22,0.297297297297
76,2012-01,74,8,0.121212121212
77,2011-12,66,-15,-0.185185185185
78,2011-11,81,19,0.306451612903
79,2011-10,62,-17,-0.215189873418
80,2011-09,79,-26,-0.247619047619
81,2011-08,105,-1,-0.00943396226415
82,2011-07,106,10,0.104166666667
83,2011-06,96,6,0.0666666666667
84,2011-05,90,16,0.216216216216
85,2011-04,74,-18,-0.195652173913
86,2011-03,92,24,0.352941176471
87,2011-02,68,-8,-0.105263157895
88,2011-01,76,36,0.9
89,2010-12,40,-40,-0.5
90,2010-11,80,8,0.111111111111
91,2010-10,72,24,0.5
92,2010-09,48,-11,-0.186440677966
93,2010-08,59,18,0.439024390244
94,2010-07,41,-3,-0.0681818181818
95,2010-06,44,0,0.0
96,2010-05,44,-11,-0.2
97,2010-04,55,0,0.0
98,2010-03,55,10,0.222222222222
99,2010-02,45,0,0.0
