,date,nums,increment,ratio
0,2018-05,21,-316,-0.937685459941
1,2018-04,337,65,0.238970588235
2,2018-03,272,71,0.353233830846
3,2018-02,201,-60,-0.229885057471
4,2018-01,261,20,0.0829875518672
5,2017-12,241,23,0.105504587156
6,2017-11,218,35,0.191256830601
7,2017-10,183,-17,-0.085
8,2017-09,200,-37,-0.15611814346
9,2017-08,237,-29,-0.109022556391
10,2017-07,266,-28,-0.0952380952381
11,2017-06,294,-35,-0.106382978723
12,2017-05,329,22,0.071661237785
13,2017-04,307,106,0.52736318408
14,2017-03,201,-87,-0.302083333333
15,2017-02,288,1,0.00348432055749
16,2017-01,287,14,0.0512820512821
17,2016-12,273,-86,-0.239554317549
18,2016-11,359,100,0.3861003861
19,2016-10,259,14,0.0571428571429
20,2016-09,245,-34,-0.121863799283
21,2016-08,279,3,0.0108695652174
22,2016-07,276,-38,-0.12101910828
23,2016-06,314,-34,-0.0977011494253
24,2016-05,348,9,0.0265486725664
25,2016-04,339,18,0.0560747663551
26,2016-03,321,42,0.150537634409
27,2016-02,279,-76,-0.214084507042
28,2016-01,355,55,0.183333333333
29,2015-12,300,-51,-0.145299145299
30,2015-11,351,60,0.20618556701
31,2015-10,291,-63,-0.177966101695
32,2015-09,354,16,0.0473372781065
33,2015-08,338,-2,-0.00588235294118
34,2015-07,340,48,0.164383561644
35,2015-06,292,8,0.0281690140845
36,2015-05,284,18,0.0676691729323
37,2015-04,266,87,0.486033519553
38,2015-03,179,0,0.0
39,2015-02,179,26,0.169934640523
40,2015-01,153,-25,-0.140449438202
41,2014-12,178,-4,-0.021978021978
42,2014-11,182,12,0.0705882352941
43,2014-10,170,-55,-0.244444444444
44,2014-09,225,19,0.0922330097087
45,2014-08,206,-54,-0.207692307692
46,2014-07,260,134,1.06349206349
47,2014-06,126,-71,-0.360406091371
48,2014-05,197,6,0.0314136125654
49,2014-04,191,27,0.164634146341
50,2014-03,164,34,0.261538461538
51,2014-02,130,-30,-0.1875
52,2014-01,160,66,0.702127659574
53,2013-12,94,-6,-0.06
54,2013-11,100,20,0.25
55,2013-10,80,34,0.739130434783
56,2013-09,46,8,0.210526315789
57,2013-08,38,3,0.0857142857143
58,2013-07,35,-4,-0.102564102564
59,2013-06,39,2,0.0540540540541
60,2013-05,37,18,0.947368421053
61,2013-04,19,-11,-0.366666666667
62,2013-03,30,13,0.764705882353
63,2013-02,17,-5,-0.227272727273
64,2013-01,22,8,0.571428571429
65,2012-12,14,-4,-0.222222222222
66,2012-11,18,-4,-0.181818181818
67,2012-10,22,6,0.375
68,2012-09,16,-19,-0.542857142857
69,2012-08,35,17,0.944444444444
70,2012-07,18,-8,-0.307692307692
71,2012-06,26,18,2.25
72,2012-05,8,-4,-0.333333333333
73,2012-04,12,-2,-0.142857142857
74,2012-03,14,-2,-0.125
75,2012-02,16,5,0.454545454545
76,2012-01,11,4,0.571428571429
77,2011-12,7,-12,-0.631578947368
78,2011-11,19,5,0.357142857143
79,2011-10,14,-7,-0.333333333333
80,2011-09,21,6,0.4
81,2011-08,15,4,0.363636363636
82,2011-07,11,-2,-0.153846153846
83,2011-06,13,-8,-0.380952380952
84,2011-05,21,16,3.2
85,2011-04,5,2,0.666666666667
86,2011-03,3,-1,-0.25
87,2011-02,4,-2,-0.333333333333
88,2011-01,6,3,1.0
89,2010-11,3,-4,-0.571428571429
90,2010-10,7,5,2.5
91,2010-09,2,0,0.0
