,date,nums,increment,ratio
0,2018-04,107,-69,-0.392045454545
1,2018-03,176,38,0.275362318841
2,2018-02,138,-64,-0.316831683168
3,2018-01,202,80,0.655737704918
4,2017-12,122,-64,-0.344086021505
5,2017-11,186,54,0.409090909091
6,2017-10,132,24,0.222222222222
7,2017-09,108,-36,-0.25
8,2017-08,144,-15,-0.0943396226415
9,2017-07,159,-1,-0.00625
10,2017-06,160,-37,-0.187817258883
11,2017-05,197,27,0.158823529412
12,2017-04,170,76,0.808510638298
13,2017-03,94,-17,-0.153153153153
14,2017-02,111,11,0.11
15,2017-01,100,-27,-0.212598425197
16,2016-12,127,30,0.309278350515
17,2016-11,97,-116,-0.544600938967
18,2016-10,213,-35,-0.141129032258
19,2016-09,248,0,0.0
20,2016-08,248,-91,-0.268436578171
21,2016-07,339,11,0.0335365853659
22,2016-06,328,25,0.0825082508251
23,2016-05,303,-221,-0.421755725191
24,2016-04,524,-96,-0.154838709677
25,2016-03,620,92,0.174242424242
26,2016-02,528,146,0.38219895288
27,2016-01,382,-40,-0.0947867298578
28,2015-12,422,-35,-0.0765864332604
29,2015-11,457,133,0.41049382716
30,2015-10,324,-107,-0.248259860789
31,2015-09,431,-22,-0.0485651214128
32,2015-08,453,128,0.393846153846
33,2015-07,325,-132,-0.288840262582
34,2015-06,457,-25,-0.051867219917
35,2015-05,482,-82,-0.145390070922
36,2015-04,564,249,0.790476190476
37,2015-03,315,-190,-0.376237623762
38,2015-02,505,-86,-0.14551607445
39,2015-01,591,-121,-0.169943820225
40,2014-12,712,149,0.264653641208
41,2014-11,563,4,0.00715563506261
42,2014-10,559,-10,-0.0175746924429
43,2014-09,569,-201,-0.261038961039
44,2014-08,770,561,2.68421052632
45,2014-07,209,-333,-0.614391143911
46,2014-06,542,110,0.25462962963
47,2014-05,432,-6,-0.013698630137
48,2014-04,438,153,0.536842105263
49,2014-03,285,41,0.168032786885
50,2014-02,244,89,0.574193548387
51,2014-01,155,102,1.92452830189
52,2013-12,53,-3,-0.0535714285714
53,2013-11,56,46,4.6
54,2013-10,10,6,1.5
55,2013-09,4,3,3.0
56,2013-08,1,-3,-0.75
57,2013-05,4,0,0.0
