,date,nums,increment,ratio
0,2018-04,75,-20,-0.210526315789
1,2018-03,95,2,0.0215053763441
2,2018-02,93,13,0.1625
3,2018-01,80,13,0.194029850746
4,2017-12,67,-5,-0.0694444444444
5,2017-11,72,3,0.0434782608696
6,2017-10,69,2,0.0298507462687
7,2017-09,67,-4,-0.056338028169
8,2017-08,71,-7,-0.0897435897436
9,2017-07,78,-5,-0.0602409638554
10,2017-06,83,-19,-0.186274509804
11,2017-05,102,36,0.545454545455
12,2017-04,66,-34,-0.34
13,2017-03,100,20,0.25
14,2017-02,80,7,0.0958904109589
15,2017-01,73,-1,-0.0135135135135
16,2016-12,74,10,0.15625
17,2016-11,64,-2,-0.030303030303
18,2016-10,66,-2,-0.0294117647059
19,2016-09,68,6,0.0967741935484
20,2016-08,62,25,0.675675675676
21,2016-07,37,-11,-0.229166666667
22,2016-06,48,-1,-0.0204081632653
23,2016-05,49,-9,-0.155172413793
24,2016-04,58,-10,-0.147058823529
25,2016-03,68,19,0.387755102041
26,2016-02,49,-1,-0.02
27,2016-01,50,-11,-0.180327868852
28,2015-12,61,5,0.0892857142857
29,2015-11,56,1,0.0181818181818
30,2015-10,55,0,0.0
31,2015-09,55,11,0.25
32,2015-08,44,-2,-0.0434782608696
33,2015-07,46,-7,-0.132075471698
34,2015-06,53,16,0.432432432432
35,2015-05,37,1,0.0277777777778
36,2015-04,36,-16,-0.307692307692
37,2015-03,52,3,0.0612244897959
38,2015-02,49,0,0.0
39,2015-01,49,-2,-0.0392156862745
40,2014-12,51,0,0.0
41,2014-11,51,11,0.275
42,2014-10,40,-4,-0.0909090909091
43,2014-09,44,2,0.047619047619
44,2014-08,42,-12,-0.222222222222
45,2014-07,54,-7,-0.114754098361
46,2014-06,61,13,0.270833333333
47,2014-05,48,3,0.0666666666667
48,2014-04,45,0,0.0
49,2014-03,45,-8,-0.150943396226
50,2014-02,53,22,0.709677419355
51,2014-01,31,-4,-0.114285714286
52,2013-12,35,-3,-0.0789473684211
53,2013-11,38,3,0.0857142857143
54,2013-10,35,5,0.166666666667
55,2013-09,30,-2,-0.0625
56,2013-08,32,5,0.185185185185
57,2013-07,27,10,0.588235294118
58,2013-06,17,1,0.0625
59,2013-05,16,12,3.0
60,2013-04,4,0,0.0
61,2013-03,4,0,0.0
62,2013-02,4,3,3.0
63,2013-01,1,0,0.0
