,date,nums,increment,ratio
0,2018-05,13,-298,-0.958199356913
1,2018-04,311,-18,-0.0547112462006
2,2018-03,329,33,0.111486486486
3,2018-02,296,-127,-0.300236406619
4,2018-01,423,121,0.400662251656
5,2017-12,302,-114,-0.274038461538
6,2017-11,416,132,0.464788732394
7,2017-10,284,53,0.229437229437
8,2017-09,231,-111,-0.324561403509
9,2017-08,342,22,0.06875
10,2017-07,320,71,0.285140562249
11,2017-06,249,-73,-0.226708074534
12,2017-05,322,4,0.0125786163522
13,2017-04,318,120,0.606060606061
14,2017-03,198,-83,-0.29537366548
15,2017-02,281,27,0.106299212598
16,2017-01,254,30,0.133928571429
17,2016-12,224,16,0.0769230769231
18,2016-11,208,-15,-0.067264573991
19,2016-10,223,6,0.0276497695853
20,2016-09,217,100,0.854700854701
21,2016-08,117,-41,-0.259493670886
22,2016-07,158,17,0.120567375887
23,2016-06,141,47,0.5
24,2016-05,94,-106,-0.53
25,2016-04,200,19,0.104972375691
26,2016-03,181,36,0.248275862069
27,2016-02,145,16,0.124031007752
28,2016-01,129,8,0.0661157024793
29,2015-12,121,1,0.00833333333333
30,2015-11,120,54,0.818181818182
31,2015-10,66,-28,-0.297872340426
32,2015-09,94,-18,-0.160714285714
33,2015-08,112,65,1.3829787234
34,2015-07,47,-46,-0.494623655914
35,2015-06,93,-12,-0.114285714286
36,2015-05,105,28,0.363636363636
37,2015-04,77,2,0.0266666666667
38,2015-03,75,-54,-0.418604651163
39,2015-02,129,14,0.121739130435
40,2015-01,115,-36,-0.238410596026
41,2014-12,151,62,0.696629213483
42,2014-11,89,24,0.369230769231
43,2014-10,65,49,3.0625
44,2014-09,16,-12,-0.428571428571
45,2014-08,28,15,1.15384615385
46,2014-07,13,-2,-0.133333333333
47,2014-06,15,-2,-0.117647058824
48,2014-05,17,-9,-0.346153846154
49,2014-04,26,5,0.238095238095
50,2014-03,21,-15,-0.416666666667
51,2014-02,36,9,0.333333333333
52,2014-01,27,13,0.928571428571
53,2013-12,14,-9,-0.391304347826
54,2013-11,23,-4,-0.148148148148
55,2013-10,27,-8,-0.228571428571
56,2013-09,35,-33,-0.485294117647
57,2013-08,68,11,0.19298245614
58,2013-07,57,37,1.85
59,2013-06,20,-19,-0.487179487179
60,2013-05,39,20,1.05263157895
61,2013-04,19,18,18.0
62,2013-03,1,-1,-0.5
63,2013-02,2,0,0.0
