,date,nums,increment,ratio
0,2018-04,53,4,0.0816326530612
1,2018-03,49,22,0.814814814815
2,2018-02,27,-48,-0.64
3,2018-01,75,39,1.08333333333
4,2017-12,36,-53,-0.595505617978
5,2017-11,89,33,0.589285714286
6,2017-10,56,-54,-0.490909090909
7,2017-09,110,1,0.00917431192661
8,2017-08,109,-6,-0.0521739130435
9,2017-07,115,-9,-0.0725806451613
10,2017-06,124,-4,-0.03125
11,2017-05,128,79,1.61224489796
12,2017-04,49,14,0.4
13,2017-03,35,-16,-0.313725490196
14,2017-02,51,20,0.645161290323
15,2017-01,31,-29,-0.483333333333
16,2016-12,60,-24,-0.285714285714
17,2016-11,84,24,0.4
18,2016-10,60,6,0.111111111111
19,2016-09,54,5,0.102040816327
20,2016-08,49,12,0.324324324324
21,2016-07,37,-51,-0.579545454545
22,2016-06,88,4,0.047619047619
23,2016-05,84,30,0.555555555556
24,2016-04,54,-13,-0.194029850746
25,2016-03,67,19,0.395833333333
26,2016-02,48,2,0.0434782608696
27,2016-01,46,15,0.483870967742
28,2015-12,31,-22,-0.415094339623
29,2015-11,53,2,0.0392156862745
30,2015-10,51,15,0.416666666667
31,2015-09,36,11,0.44
32,2015-08,25,-6,-0.193548387097
33,2015-07,31,-38,-0.550724637681
34,2015-06,69,28,0.682926829268
35,2015-05,41,-18,-0.305084745763
36,2015-04,59,24,0.685714285714
37,2015-03,35,-22,-0.385964912281
38,2015-02,57,-20,-0.25974025974
39,2015-01,77,3,0.0405405405405
40,2014-12,74,28,0.608695652174
41,2014-11,46,10,0.277777777778
42,2014-10,36,-4,-0.1
43,2014-09,40,11,0.379310344828
44,2014-08,29,0,0.0
45,2014-07,29,21,2.625
46,2014-06,8,-36,-0.818181818182
47,2014-05,44,-57,-0.564356435644
48,2014-04,101,-19,-0.158333333333
49,2014-03,120,-165,-0.578947368421
50,2014-02,285,110,0.628571428571
51,2014-01,175,-50,-0.222222222222
52,2013-12,225,73,0.480263157895
53,2013-11,152,18,0.134328358209
54,2013-10,134,-109,-0.448559670782
55,2013-09,243,5,0.0210084033613
56,2013-08,238,148,1.64444444444
57,2013-07,90,-150,-0.625
58,2013-06,240,42,0.212121212121
59,2013-05,198,42,0.269230769231
60,2013-04,156,23,0.172932330827
61,2013-03,133,-15,-0.101351351351
62,2013-02,148,-116,-0.439393939394
63,2013-01,264,65,0.326633165829
64,2012-12,199,30,0.177514792899
65,2012-11,169,0,0.0
66,2012-10,169,34,0.251851851852
67,2012-09,135,48,0.551724137931
68,2012-08,87,-26,-0.230088495575
69,2012-07,113,-2,-0.0173913043478
70,2012-06,115,66,1.34693877551
71,2012-05,49,26,1.13043478261
72,2012-04,23,-21,-0.477272727273
73,2012-03,44,-54,-0.551020408163
74,2012-02,98,-115,-0.539906103286
75,2012-01,213,174,4.46153846154
76,2011-12,39,-1,-0.025
77,2011-11,40,-76,-0.655172413793
78,2011-10,116,40,0.526315789474
79,2011-09,76,-94,-0.552941176471
80,2011-08,170,85,1.0
81,2011-07,85,39,0.847826086957
82,2011-06,46,-204,-0.816
83,2011-05,250,130,1.08333333333
84,2011-04,120,53,0.791044776119
85,2011-03,67,-119,-0.639784946237
86,2011-02,186,147,3.76923076923
87,2011-01,39,-13,-0.25
88,2010-12,52,-84,-0.617647058824
89,2010-11,136,73,1.15873015873
90,2010-10,63,56,8.0
91,2010-05,7,-8,-0.533333333333
92,2010-04,15,14,14.0
93,2010-03,1,-2,-0.666666666667
94,2010-02,3,2,2.0
95,2010-01,1,0,0.0
96,2009-12,1,-19,-0.95
97,2009-11,20,-68,-0.772727272727
98,2009-10,88,62,2.38461538462
99,2009-09,26,-32,-0.551724137931
100,2009-08,58,0,0.0
