,date,nums,increment,ratio
0,2018-04,27,-5,-0.15625
1,2018-03,32,9,0.391304347826
2,2018-02,23,-19,-0.452380952381
3,2018-01,42,-2,-0.0454545454545
4,2017-12,44,12,0.375
5,2017-11,32,-3,-0.0857142857143
6,2017-10,35,6,0.206896551724
7,2017-09,29,0,0.0
8,2017-08,29,-4,-0.121212121212
9,2017-07,33,-10,-0.232558139535
10,2017-06,43,7,0.194444444444
11,2017-05,36,1,0.0285714285714
12,2017-04,35,-4,-0.102564102564
13,2017-03,39,8,0.258064516129
14,2017-02,31,3,0.107142857143
15,2017-01,28,-6,-0.176470588235
16,2016-12,34,-7,-0.170731707317
17,2016-11,41,6,0.171428571429
18,2016-10,35,3,0.09375
19,2016-09,32,1,0.0322580645161
20,2016-08,31,-7,-0.184210526316
21,2016-07,38,15,0.652173913043
22,2016-06,23,-2,-0.08
23,2016-05,25,-8,-0.242424242424
24,2016-04,33,-5,-0.131578947368
25,2016-03,38,1,0.027027027027
26,2016-02,37,19,1.05555555556
27,2016-01,18,-12,-0.4
28,2015-12,30,-18,-0.375
29,2015-11,48,22,0.846153846154
30,2015-10,26,-6,-0.1875
31,2015-09,32,-4,-0.111111111111
32,2015-08,36,10,0.384615384615
33,2015-07,26,-3,-0.103448275862
34,2015-06,29,-3,-0.09375
35,2015-05,32,-3,-0.0857142857143
36,2015-04,35,5,0.166666666667
37,2015-03,30,6,0.25
38,2015-02,24,-7,-0.225806451613
39,2015-01,31,-4,-0.114285714286
40,2014-12,35,-7,-0.166666666667
41,2014-11,42,-2,-0.0454545454545
42,2014-10,44,-11,-0.2
43,2014-09,55,17,0.447368421053
44,2014-08,38,-13,-0.254901960784
45,2014-07,51,11,0.275
46,2014-06,40,-9,-0.183673469388
47,2014-05,49,3,0.0652173913043
48,2014-04,46,2,0.0454545454545
49,2014-03,44,0,0.0
50,2014-02,44,-1,-0.0222222222222
51,2014-01,45,11,0.323529411765
52,2013-12,34,-1,-0.0285714285714
53,2013-11,35,-13,-0.270833333333
54,2013-10,48,14,0.411764705882
55,2013-09,34,7,0.259259259259
56,2013-08,27,3,0.125
57,2013-07,24,-7,-0.225806451613
58,2013-06,31,6,0.24
59,2013-05,25,-3,-0.107142857143
60,2013-04,28,-2,-0.0666666666667
61,2013-03,30,2,0.0714285714286
62,2013-02,28,9,0.473684210526
63,2013-01,19,2,0.117647058824
64,2012-12,17,-2,-0.105263157895
65,2012-11,19,2,0.117647058824
66,2012-10,17,6,0.545454545455
67,2012-09,11,-1,-0.0833333333333
68,2012-08,12,3,0.333333333333
69,2012-07,9,1,0.125
70,2012-06,8,-2,-0.2
71,2012-05,10,-2,-0.166666666667
72,2012-04,12,2,0.2
73,2012-03,10,-3,-0.230769230769
74,2012-02,13,3,0.3
75,2012-01,10,5,1.0
76,2011-12,5,1,0.25
77,2011-11,4,-1,-0.2
78,2011-10,5,-3,-0.375
79,2011-09,8,4,1.0
80,2011-08,4,2,1.0
81,2011-07,2,-1,-0.333333333333
82,2011-06,3,1,0.5
83,2011-05,2,1,1.0
84,2011-04,1,-1,-0.5
85,2011-03,2,0,0.0
86,2011-02,2,-1,-0.333333333333
87,2011-01,3,1,0.5
88,2010-12,2,0,0.0
