,date,nums,increment,ratio
0,2018-05,9,-143,-0.940789473684
1,2018-04,152,44,0.407407407407
2,2018-03,108,-19,-0.149606299213
3,2018-02,127,-53,-0.294444444444
4,2018-01,180,48,0.363636363636
5,2017-12,132,-88,-0.4
6,2017-11,220,70,0.466666666667
7,2017-10,150,-153,-0.50495049505
8,2017-09,303,38,0.143396226415
9,2017-08,265,-11,-0.0398550724638
10,2017-07,276,-28,-0.0921052631579
11,2017-06,304,26,0.0935251798561
12,2017-05,278,142,1.04411764706
13,2017-04,136,38,0.387755102041
14,2017-03,98,-58,-0.371794871795
15,2017-02,156,8,0.0540540540541
16,2017-01,148,15,0.112781954887
17,2016-12,133,-49,-0.269230769231
18,2016-11,182,12,0.0705882352941
19,2016-10,170,40,0.307692307692
20,2016-09,130,-9,-0.0647482014388
21,2016-08,139,3,0.0220588235294
22,2016-07,136,-29,-0.175757575758
23,2016-06,165,-18,-0.0983606557377
24,2016-05,183,-83,-0.312030075188
25,2016-04,266,43,0.192825112108
26,2016-03,223,79,0.548611111111
27,2016-02,144,-42,-0.225806451613
28,2016-01,186,66,0.55
29,2015-12,120,-46,-0.277108433735
30,2015-11,166,24,0.169014084507
31,2015-10,142,-15,-0.0955414012739
32,2015-09,157,7,0.0466666666667
33,2015-08,150,15,0.111111111111
34,2015-07,135,-54,-0.285714285714
35,2015-06,189,-22,-0.104265402844
36,2015-05,211,-1,-0.00471698113208
37,2015-04,212,6,0.0291262135922
38,2015-03,206,-28,-0.119658119658
39,2015-02,234,51,0.27868852459
40,2015-01,183,26,0.165605095541
41,2014-12,157,9,0.0608108108108
42,2014-11,148,-38,-0.204301075269
43,2014-10,186,52,0.388059701493
44,2014-09,134,40,0.425531914894
45,2014-08,94,-5,-0.0505050505051
46,2014-07,99,25,0.337837837838
47,2014-06,74,-19,-0.204301075269
48,2014-05,93,-12,-0.114285714286
49,2014-04,105,34,0.478873239437
50,2014-03,71,-64,-0.474074074074
51,2014-02,135,31,0.298076923077
52,2014-01,104,12,0.130434782609
53,2013-12,92,32,0.533333333333
54,2013-11,60,-12,-0.166666666667
55,2013-10,72,-1,-0.013698630137
56,2013-09,73,32,0.780487804878
57,2013-08,41,10,0.322580645161
58,2013-07,31,-5,-0.138888888889
59,2013-06,36,-1,-0.027027027027
60,2013-05,37,2,0.0571428571429
61,2013-04,35,-12,-0.255319148936
62,2013-03,47,6,0.146341463415
63,2013-02,41,-1,-0.0238095238095
64,2013-01,42,-3,-0.0666666666667
65,2012-12,45,27,1.5
66,2012-11,18,-1,-0.0526315789474
67,2012-10,19,-2,-0.0952380952381
68,2012-09,21,4,0.235294117647
69,2012-08,17,5,0.416666666667
70,2012-07,12,-2,-0.142857142857
71,2012-06,14,4,0.4
72,2012-05,10,2,0.25
73,2012-04,8,-8,-0.5
74,2012-03,16,-8,-0.333333333333
75,2012-02,24,10,0.714285714286
76,2012-01,14,5,0.555555555556
77,2011-12,9,0,0.0
78,2011-11,9,2,0.285714285714
79,2011-10,7,-3,-0.3
80,2011-09,10,1,0.111111111111
81,2011-08,9,3,0.5
82,2011-07,6,4,2.0
83,2011-06,2,-7,-0.777777777778
84,2011-05,9,5,1.25
85,2011-04,4,2,1.0
86,2011-03,2,-2,-0.5
87,2011-02,4,-1,-0.2
88,2011-01,5,2,0.666666666667
89,2010-12,3,2,2.0
90,2010-11,1,0,0.0
