,date,nums,increment,ratio
0,2018-05,3,-97,-0.97
1,2018-04,100,49,0.960784313725
2,2018-03,51,-18,-0.260869565217
3,2018-02,69,-43,-0.383928571429
4,2018-01,112,46,0.69696969697
5,2017-12,66,-61,-0.48031496063
6,2017-11,127,48,0.607594936709
7,2017-10,79,-112,-0.586387434555
8,2017-09,191,53,0.384057971014
9,2017-08,138,-30,-0.178571428571
10,2017-07,168,11,0.0700636942675
11,2017-06,157,9,0.0608108108108
12,2017-05,148,82,1.24242424242
13,2017-04,66,30,0.833333333333
14,2017-03,36,-47,-0.566265060241
15,2017-02,83,32,0.627450980392
16,2017-01,51,2,0.0408163265306
17,2016-12,49,-41,-0.455555555556
18,2016-11,90,17,0.232876712329
19,2016-10,73,9,0.140625
20,2016-09,64,-4,-0.0588235294118
21,2016-08,68,20,0.416666666667
22,2016-07,48,-27,-0.36
23,2016-06,75,-8,-0.0963855421687
24,2016-05,83,-40,-0.325203252033
25,2016-04,123,31,0.336956521739
26,2016-03,92,28,0.4375
27,2016-02,64,4,0.0666666666667
28,2016-01,60,18,0.428571428571
29,2015-12,42,-20,-0.322580645161
30,2015-11,62,1,0.016393442623
31,2015-10,61,23,0.605263157895
32,2015-09,38,-5,-0.116279069767
33,2015-08,43,8,0.228571428571
34,2015-07,35,-28,-0.444444444444
35,2015-06,63,3,0.05
36,2015-05,60,-9,-0.130434782609
37,2015-04,69,20,0.408163265306
38,2015-03,49,-8,-0.140350877193
39,2015-02,57,3,0.0555555555556
40,2015-01,54,3,0.0588235294118
41,2014-12,51,11,0.275
42,2014-11,40,-29,-0.420289855072
43,2014-10,69,10,0.169491525424
44,2014-09,59,26,0.787878787879
45,2014-08,33,-11,-0.25
46,2014-07,44,8,0.222222222222
47,2014-06,36,-31,-0.462686567164
48,2014-05,67,-11,-0.141025641026
49,2014-04,78,7,0.0985915492958
50,2014-03,71,-62,-0.466165413534
51,2014-02,133,29,0.278846153846
52,2014-01,104,12,0.130434782609
53,2013-12,92,32,0.533333333333
54,2013-11,60,-12,-0.166666666667
55,2013-10,72,-1,-0.013698630137
56,2013-09,73,32,0.780487804878
57,2013-08,41,10,0.322580645161
58,2013-07,31,-5,-0.138888888889
59,2013-06,36,-1,-0.027027027027
60,2013-05,37,2,0.0571428571429
61,2013-04,35,-12,-0.255319148936
62,2013-03,47,6,0.146341463415
63,2013-02,41,-1,-0.0238095238095
64,2013-01,42,-3,-0.0666666666667
65,2012-12,45,27,1.5
66,2012-11,18,-1,-0.0526315789474
67,2012-10,19,-2,-0.0952380952381
68,2012-09,21,4,0.235294117647
69,2012-08,17,5,0.416666666667
70,2012-07,12,-2,-0.142857142857
71,2012-06,14,4,0.4
72,2012-05,10,2,0.25
73,2012-04,8,-8,-0.5
74,2012-03,16,-8,-0.333333333333
75,2012-02,24,10,0.714285714286
76,2012-01,14,5,0.555555555556
77,2011-12,9,0,0.0
78,2011-11,9,2,0.285714285714
79,2011-10,7,-3,-0.3
80,2011-09,10,1,0.111111111111
81,2011-08,9,3,0.5
82,2011-07,6,4,2.0
83,2011-06,2,-7,-0.777777777778
84,2011-05,9,5,1.25
85,2011-04,4,2,1.0
86,2011-03,2,-1,-0.333333333333
87,2011-02,3,0,0.0
88,2011-01,3,0,0.0
89,2010-12,3,2,2.0
90,2010-11,1,0,0.0
