,date,nums,increment,ratio
0,2018-04,98,-40,-0.289855072464
1,2018-03,138,22,0.189655172414
2,2018-02,116,-41,-0.261146496815
3,2018-01,157,26,0.198473282443
4,2017-12,131,-53,-0.288043478261
5,2017-11,184,64,0.533333333333
6,2017-10,120,-3,-0.0243902439024
7,2017-09,123,-12,-0.0888888888889
8,2017-08,135,6,0.046511627907
9,2017-07,129,-24,-0.156862745098
10,2017-06,153,15,0.108695652174
11,2017-05,138,-17,-0.109677419355
12,2017-04,155,-3,-0.0189873417722
13,2017-03,158,2,0.0128205128205
14,2017-02,156,50,0.471698113208
15,2017-01,106,-24,-0.184615384615
16,2016-12,130,-3,-0.0225563909774
17,2016-11,133,24,0.220183486239
18,2016-10,109,-42,-0.278145695364
19,2016-09,151,-10,-0.0621118012422
20,2016-08,161,14,0.0952380952381
21,2016-07,147,6,0.0425531914894
22,2016-06,141,-14,-0.0903225806452
23,2016-05,155,10,0.0689655172414
24,2016-04,145,-23,-0.136904761905
25,2016-03,168,54,0.473684210526
26,2016-02,114,-34,-0.22972972973
27,2016-01,148,11,0.0802919708029
28,2015-12,137,-4,-0.0283687943262
29,2015-11,141,-21,-0.12962962963
30,2015-10,162,34,0.265625
31,2015-09,128,6,0.0491803278689
32,2015-08,122,18,0.173076923077
33,2015-07,104,-70,-0.402298850575
34,2015-06,174,5,0.0295857988166
35,2015-05,169,7,0.0432098765432
36,2015-04,162,-14,-0.0795454545455
37,2015-03,176,49,0.385826771654
38,2015-02,127,-15,-0.105633802817
39,2015-01,142,4,0.0289855072464
40,2014-12,138,-4,-0.0281690140845
41,2014-11,142,12,0.0923076923077
42,2014-10,130,9,0.0743801652893
43,2014-09,121,4,0.034188034188
44,2014-08,117,-16,-0.12030075188
45,2014-07,133,42,0.461538461538
46,2014-06,91,-42,-0.315789473684
47,2014-05,133,2,0.0152671755725
48,2014-04,131,7,0.0564516129032
49,2014-03,124,26,0.265306122449
50,2014-02,98,-4,-0.0392156862745
51,2014-01,102,35,0.522388059701
52,2013-12,67,-10,-0.12987012987
53,2013-11,77,-14,-0.153846153846
54,2013-10,91,2,0.0224719101124
55,2013-09,89,-6,-0.0631578947368
56,2013-08,95,30,0.461538461538
57,2013-07,65,29,0.805555555556
58,2013-06,36,-25,-0.409836065574
59,2013-05,61,7,0.12962962963
60,2013-04,54,-16,-0.228571428571
61,2013-03,70,33,0.891891891892
62,2013-02,37,36,36.0
63,2013-01,1,0,0.0
64,2012-12,1,-2,-0.666666666667
65,2012-11,3,-4,-0.571428571429
66,2012-10,7,2,0.4
67,2012-09,5,2,0.666666666667
68,2012-08,3,-5,-0.625
69,2012-07,8,0,0.0
70,2012-06,8,4,1.0
71,2012-05,4,-5,-0.555555555556
72,2012-04,9,0,0.0
73,2012-03,9,-12,-0.571428571429
74,2012-02,21,4,0.235294117647
75,2012-01,17,6,0.545454545455
76,2011-12,11,-8,-0.421052631579
77,2011-11,19,8,0.727272727273
78,2011-10,11,0,0.0
79,2011-09,11,-4,-0.266666666667
80,2011-08,15,-5,-0.25
81,2011-07,20,3,0.176470588235
82,2011-06,17,-7,-0.291666666667
83,2011-05,24,-2,-0.0769230769231
84,2011-04,26,-2,-0.0714285714286
85,2011-03,28,4,0.166666666667
86,2011-02,24,-11,-0.314285714286
87,2011-01,35,14,0.666666666667
88,2010-12,21,-647,-0.968562874251
89,2010-11,668,0,0.0
