,date,nums,increment,ratio
0,2018-04,82,44,1.15789473684
1,2018-03,38,3,0.0857142857143
2,2018-02,35,-2,-0.0540540540541
3,2018-01,37,-11,-0.229166666667
4,2017-12,48,7,0.170731707317
5,2017-11,41,6,0.171428571429
6,2017-10,35,-6,-0.146341463415
7,2017-09,41,-18,-0.305084745763
8,2017-08,59,-16,-0.213333333333
9,2017-07,75,34,0.829268292683
10,2017-06,41,-11,-0.211538461538
11,2017-05,52,9,0.209302325581
12,2017-04,43,-67,-0.609090909091
13,2017-03,110,-13,-0.105691056911
14,2017-02,123,91,2.84375
15,2017-01,32,-46,-0.589743589744
16,2016-12,78,-10,-0.113636363636
17,2016-11,88,39,0.795918367347
18,2016-10,49,-36,-0.423529411765
19,2016-09,85,16,0.231884057971
20,2016-08,69,-61,-0.469230769231
21,2016-07,130,33,0.340206185567
22,2016-06,97,42,0.763636363636
23,2016-05,55,-24,-0.303797468354
24,2016-04,79,-45,-0.362903225806
25,2016-03,124,11,0.0973451327434
26,2016-02,113,-12,-0.096
27,2016-01,125,36,0.404494382022
28,2015-12,89,-17,-0.160377358491
29,2015-11,106,-14,-0.116666666667
30,2015-10,120,73,1.55319148936
31,2015-09,47,31,1.9375
32,2015-08,16,8,1.0
33,2015-07,8,-15,-0.652173913043
34,2015-06,23,12,1.09090909091
35,2015-05,11,-2,-0.153846153846
36,2015-04,13,-24,-0.648648648649
37,2015-03,37,25,2.08333333333
38,2015-02,12,11,11.0
39,2015-01,1,0,0.0
