,date,nums,increment,ratio
0,2018-04,267,-55,-0.170807453416
1,2018-03,322,45,0.162454873646
2,2018-02,277,-72,-0.206303724928
3,2018-01,349,65,0.228873239437
4,2017-12,284,-27,-0.0868167202572
5,2017-11,311,16,0.0542372881356
6,2017-10,295,-6,-0.0199335548173
7,2017-09,301,-28,-0.0851063829787
8,2017-08,329,-37,-0.101092896175
9,2017-07,366,-5,-0.0134770889488
10,2017-06,371,18,0.0509915014164
11,2017-05,353,-37,-0.0948717948718
12,2017-04,390,-72,-0.155844155844
13,2017-03,462,53,0.129584352078
14,2017-02,409,98,0.315112540193
15,2017-01,311,-65,-0.172872340426
16,2016-12,376,4,0.010752688172
17,2016-11,372,-40,-0.0970873786408
18,2016-10,412,16,0.040404040404
19,2016-09,396,-32,-0.0747663551402
20,2016-08,428,-58,-0.119341563786
21,2016-07,486,41,0.0921348314607
22,2016-06,445,14,0.0324825986079
23,2016-05,431,-56,-0.11498973306
24,2016-04,487,5,0.0103734439834
25,2016-03,482,106,0.281914893617
26,2016-02,376,-106,-0.219917012448
27,2016-01,482,91,0.23273657289
28,2015-12,391,32,0.0891364902507
29,2015-11,359,-30,-0.0771208226221
30,2015-10,389,-109,-0.218875502008
31,2015-09,498,348,2.32
32,2015-08,150,-30,-0.166666666667
33,2015-07,180,24,0.153846153846
34,2015-06,156,-53,-0.253588516746
35,2015-05,209,-251,-0.545652173913
36,2015-04,460,-181,-0.282371294852
37,2015-03,641,0,0.0
