,date,nums,increment,ratio
0,2018-05,5,-73,-0.935897435897
1,2018-04,78,-35,-0.309734513274
2,2018-03,113,22,0.241758241758
3,2018-02,91,-6,-0.0618556701031
4,2018-01,97,16,0.197530864198
5,2017-12,81,-12,-0.129032258065
6,2017-11,93,-50,-0.34965034965
7,2017-10,143,29,0.254385964912
8,2017-09,114,-34,-0.22972972973
9,2017-08,148,-45,-0.233160621762
10,2017-07,193,65,0.5078125
11,2017-06,128,-57,-0.308108108108
12,2017-05,185,18,0.107784431138
13,2017-04,167,-50,-0.230414746544
14,2017-03,217,33,0.179347826087
15,2017-02,184,9,0.0514285714286
16,2017-01,175,-6,-0.0331491712707
17,2016-12,181,-36,-0.165898617512
18,2016-11,217,31,0.166666666667
19,2016-10,186,-9,-0.0461538461538
20,2016-09,195,-37,-0.159482758621
21,2016-08,232,-17,-0.0682730923695
22,2016-07,249,-60,-0.194174757282
23,2016-06,309,73,0.309322033898
24,2016-05,236,-52,-0.180555555556
25,2016-04,288,37,0.147410358566
26,2016-03,251,-27,-0.0971223021583
27,2016-02,278,51,0.224669603524
28,2016-01,227,-7,-0.0299145299145
29,2015-12,234,51,0.27868852459
30,2015-11,183,-17,-0.085
31,2015-10,200,-21,-0.0950226244344
32,2015-09,221,114,1.06542056075
33,2015-08,107,-27,-0.201492537313
34,2015-07,134,15,0.126050420168
35,2015-06,119,-21,-0.15
36,2015-05,140,-66,-0.320388349515
37,2015-04,206,11,0.0564102564103
38,2015-03,195,168,6.22222222222
39,2015-02,27,20,2.85714285714
40,2015-01,7,0,0.0
