,date,nums,increment,ratio
0,2016-12,358,-1016,-0.739446870451
1,2016-11,1374,-49,-0.0344342937456
2,2016-10,1423,20,0.0142551674982
3,2016-09,1403,56,0.0415738678545
4,2016-08,1347,-59,-0.0419630156472
5,2016-07,1406,37,0.027027027027
6,2016-06,1369,-64,-0.0446615491975
7,2016-05,1433,-356,-0.198993851314
8,2016-04,1789,73,0.0425407925408
9,2016-03,1716,411,0.314942528736
10,2016-02,1305,-452,-0.257256687536
11,2016-01,1757,212,0.137216828479
12,2015-12,1545,159,0.114718614719
13,2015-11,1386,-178,-0.113810741688
14,2015-10,1564,-1260,-0.446175637394
15,2015-09,2824,2020,2.51243781095
16,2015-08,804,-36,-0.0428571428571
17,2015-07,840,-44,-0.0497737556561
18,2015-06,884,-147,-0.142580019399
19,2015-05,1031,-1804,-0.636331569665
20,2015-04,2835,-6687,-0.702268431002
21,2015-03,9522,9490,296.5625
22,2015-02,32,-21,-0.396226415094
23,2015-01,53,0,0.0
