,date,nums,increment,ratio
0,2018-04,3,-2,-0.4
1,2018-03,5,4,4.0
2,2018-02,1,-20,-0.952380952381
3,2018-01,21,18,6.0
4,2017-12,3,-3,-0.5
5,2017-11,6,3,1.0
6,2017-10,3,-28,-0.903225806452
7,2017-09,31,28,9.33333333333
8,2017-08,3,-2,-0.4
9,2017-07,5,-1,-0.166666666667
10,2017-06,6,-5,-0.454545454545
11,2017-05,11,0,0.0
12,2017-04,11,-51,-0.822580645161
13,2017-03,62,58,14.5
14,2017-02,4,-7,-0.636363636364
15,2017-01,11,8,2.66666666667
16,2016-12,3,2,2.0
17,2016-11,1,-1,-0.5
18,2016-10,2,-9,-0.818181818182
19,2016-09,11,8,2.66666666667
20,2016-08,3,-1,-0.25
21,2016-07,4,-7,-0.636363636364
22,2016-06,11,4,0.571428571429
23,2016-05,7,1,0.166666666667
24,2016-04,6,0,0.0
25,2016-03,6,0,0.0
26,2016-02,6,-16,-0.727272727273
27,2016-01,22,19,6.33333333333
28,2015-12,3,2,2.0
29,2015-11,1,-4,-0.8
30,2015-10,5,4,4.0
31,2015-09,1,-9,-0.9
32,2015-08,10,-10,-0.5
33,2015-07,20,17,5.66666666667
34,2015-06,3,-1,-0.25
35,2015-05,4,-17,-0.809523809524
36,2015-04,21,16,3.2
37,2015-03,5,0,0.0
38,2015-02,5,2,0.666666666667
39,2015-01,3,-14,-0.823529411765
40,2014-12,17,-47,-0.734375
41,2014-11,64,62,31.0
42,2014-10,2,-7,-0.777777777778
43,2014-09,9,7,3.5
44,2014-08,2,-1,-0.333333333333
45,2014-07,3,1,0.5
46,2014-06,2,-5,-0.714285714286
47,2014-05,7,-3,-0.3
48,2014-04,10,8,4.0
49,2014-03,2,-7,-0.777777777778
50,2014-02,9,8,8.0
51,2014-01,1,-5,-0.833333333333
52,2013-12,6,5,5.0
53,2013-10,1,-2,-0.666666666667
54,2013-08,3,-5,-0.625
55,2013-07,8,7,7.0
56,2013-04,1,0,0.0
57,2013-01,1,-2,-0.666666666667
58,2012-12,3,-1,-0.25
59,2012-11,4,1,0.333333333333
60,2012-10,3,0,0.0
61,2012-06,3,2,2.0
62,2012-05,1,0,0.0
