,date,nums,increment,ratio
0,2018-04,246,-89,-0.265671641791
1,2018-03,335,77,0.298449612403
2,2018-02,258,-15,-0.0549450549451
3,2018-01,273,35,0.147058823529
4,2017-12,238,-66,-0.217105263158
5,2017-11,304,38,0.142857142857
6,2017-10,266,-7,-0.025641025641
7,2017-09,273,7,0.0263157894737
8,2017-08,266,-10,-0.036231884058
9,2017-07,276,5,0.0184501845018
10,2017-06,271,21,0.084
11,2017-05,250,15,0.063829787234
12,2017-04,235,-9,-0.0368852459016
13,2017-03,244,64,0.355555555556
14,2017-02,180,-1,-0.00552486187845
15,2017-01,181,-5,-0.0268817204301
16,2016-12,186,13,0.0751445086705
17,2016-11,173,-4,-0.0225988700565
18,2016-10,177,-25,-0.123762376238
19,2016-09,202,20,0.10989010989
20,2016-08,182,-13,-0.0666666666667
21,2016-07,195,6,0.031746031746
22,2016-06,189,15,0.0862068965517
23,2016-05,174,-4,-0.0224719101124
24,2016-04,178,-5,-0.0273224043716
25,2016-03,183,50,0.375939849624
26,2016-02,133,-47,-0.261111111111
27,2016-01,180,53,0.417322834646
28,2015-12,127,-4,-0.030534351145
29,2015-11,131,-31,-0.191358024691
30,2015-10,162,17,0.11724137931
31,2015-09,145,-10,-0.0645161290323
32,2015-08,155,-10,-0.0606060606061
33,2015-07,165,22,0.153846153846
34,2015-06,143,6,0.043795620438
35,2015-05,137,20,0.17094017094
36,2015-04,117,-15,-0.113636363636
37,2015-03,132,30,0.294117647059
38,2015-02,102,-2,-0.0192307692308
39,2015-01,104,-3,-0.0280373831776
40,2014-12,107,-35,-0.246478873239
41,2014-11,142,32,0.290909090909
42,2014-10,110,18,0.195652173913
43,2014-09,92,-27,-0.226890756303
44,2014-08,119,-39,-0.246835443038
45,2014-07,158,22,0.161764705882
46,2014-06,136,17,0.142857142857
47,2014-05,119,-19,-0.13768115942
48,2014-04,138,5,0.0375939849624
49,2014-03,133,9,0.0725806451613
50,2014-02,124,1,0.00813008130081
51,2014-01,123,49,0.662162162162
52,2013-12,74,-15,-0.168539325843
53,2013-11,89,-28,-0.239316239316
54,2013-10,117,34,0.409638554217
55,2013-09,83,-13,-0.135416666667
56,2013-08,96,-4,-0.04
57,2013-07,100,8,0.0869565217391
58,2013-06,92,14,0.179487179487
59,2013-05,78,-25,-0.242718446602
60,2013-04,103,20,0.240963855422
61,2013-03,83,16,0.238805970149
62,2013-02,67,-21,-0.238636363636
63,2013-01,88,28,0.466666666667
64,2012-12,60,4,0.0714285714286
65,2012-11,56,3,0.0566037735849
66,2012-10,53,17,0.472222222222
67,2012-09,36,-2,-0.0526315789474
68,2012-08,38,-13,-0.254901960784
69,2012-07,51,16,0.457142857143
70,2012-06,35,-5,-0.125
71,2012-05,40,27,2.07692307692
72,2012-04,13,-7,-0.35
73,2012-03,20,8,0.666666666667
74,2012-02,12,0,0.0
75,2012-01,12,4,0.5
76,2011-12,8,-3,-0.272727272727
77,2011-11,11,-1,-0.0833333333333
78,2011-10,12,-10,-0.454545454545
79,2011-09,22,11,1.0
80,2011-08,11,6,1.2
81,2011-07,5,-8,-0.615384615385
82,2011-06,13,7,1.16666666667
83,2011-05,6,-2,-0.25
84,2011-04,8,3,0.6
85,2011-03,5,-2,-0.285714285714
86,2011-02,7,-1,-0.125
87,2011-01,8,5,1.66666666667
88,2010-12,3,-1,-0.25
89,2010-11,4,-3,-0.428571428571
90,2010-10,7,5,2.5
91,2010-09,2,-2,-0.5
92,2010-08,4,3,3.0
93,2010-07,1,-3,-0.75
94,2010-06,4,0,0.0
95,2010-05,4,-3,-0.428571428571
96,2010-04,7,1,0.166666666667
97,2010-03,6,3,1.0
98,2010-02,3,2,2.0
99,2010-01,1,-1,-0.5
100,2009-11,2,-2,-0.5
101,2009-10,4,2,1.0
102,2009-09,2,0,0.0
103,2009-07,2,0,0.0
104,2009-05,2,-1,-0.333333333333
105,2009-04,3,1,0.5
106,2009-03,2,1,1.0
107,2009-02,1,0,0.0
108,2009-01,1,0,0.0
109,2008-12,1,0,0.0
110,2008-11,1,0,0.0
