,date,nums,increment,ratio
0,2018-04,9,-4,-0.307692307692
1,2018-03,13,3,0.3
2,2018-02,10,6,1.5
3,2018-01,4,-5,-0.555555555556
4,2017-12,9,-4,-0.307692307692
5,2017-11,13,1,0.0833333333333
6,2017-10,12,2,0.2
7,2017-09,10,4,0.666666666667
8,2017-08,6,-5,-0.454545454545
9,2017-07,11,0,0.0
10,2017-06,11,-3,-0.214285714286
11,2017-05,14,5,0.555555555556
12,2017-04,9,1,0.125
13,2017-03,8,-2,-0.2
14,2017-02,10,2,0.25
15,2017-01,8,4,1.0
16,2016-12,4,0,0.0
17,2016-11,4,-2,-0.333333333333
18,2016-10,6,1,0.2
19,2016-09,5,-3,-0.375
20,2016-08,8,-6,-0.428571428571
21,2016-07,14,7,1.0
22,2016-06,7,-4,-0.363636363636
23,2016-05,11,-4,-0.266666666667
24,2016-04,15,0,0.0
25,2016-03,15,7,0.875
26,2016-02,8,4,1.0
27,2016-01,4,3,3.0
28,2015-12,1,-3,-0.75
29,2015-11,4,-3,-0.428571428571
30,2015-10,7,-1,-0.125
31,2015-09,8,2,0.333333333333
32,2015-08,6,0,0.0
33,2015-07,6,-4,-0.4
34,2015-06,10,4,0.666666666667
35,2015-05,6,3,1.0
36,2015-04,3,0,0.0
37,2015-03,3,-3,-0.5
38,2015-02,6,3,1.0
39,2015-01,3,-1,-0.25
40,2014-12,4,-1,-0.2
41,2014-11,5,2,0.666666666667
42,2014-10,3,-1,-0.25
43,2014-09,4,1,0.333333333333
44,2014-08,3,-1,-0.25
45,2014-07,4,2,1.0
46,2014-06,2,-1,-0.333333333333
47,2014-05,3,1,0.5
48,2014-04,2,-7,-0.777777777778
49,2014-03,9,3,0.5
50,2014-02,6,2,0.5
51,2014-01,4,2,1.0
52,2013-12,2,-3,-0.6
53,2013-11,5,0,0.0
54,2013-10,5,1,0.25
55,2013-09,4,1,0.333333333333
56,2013-08,3,-1,-0.25
57,2013-07,4,-2,-0.333333333333
58,2013-06,6,5,5.0
59,2013-05,1,-2,-0.666666666667
60,2013-04,3,2,2.0
61,2013-03,1,-2,-0.666666666667
62,2013-02,3,2,2.0
63,2013-01,1,-2,-0.666666666667
64,2012-11,3,1,0.5
65,2012-10,2,1,1.0
66,2012-09,1,0,0.0
67,2012-07,1,-3,-0.75
68,2012-05,4,2,1.0
69,2012-04,2,0,0.0
70,2012-02,2,1,1.0
71,2011-12,1,-1,-0.5
72,2011-10,2,0,0.0
73,2011-09,2,0,0.0
74,2011-06,2,0,0.0
75,2011-01,2,0,0.0
