,date,nums,increment,ratio
0,2018-04,384,-165,-0.300546448087
1,2018-03,549,180,0.487804878049
2,2018-02,369,-99,-0.211538461538
3,2018-01,468,31,0.070938215103
4,2017-12,437,9,0.0210280373832
5,2017-11,428,10,0.0239234449761
6,2017-10,418,37,0.0971128608924
7,2017-09,381,-19,-0.0475
8,2017-08,400,-2,-0.00497512437811
9,2017-07,402,12,0.0307692307692
10,2017-06,390,-96,-0.197530864198
11,2017-05,486,101,0.262337662338
12,2017-04,385,-138,-0.263862332696
13,2017-03,523,135,0.34793814433
14,2017-02,388,48,0.141176470588
15,2017-01,340,-4,-0.0116279069767
16,2016-12,344,-27,-0.0727762803235
17,2016-11,371,9,0.024861878453
18,2016-10,362,-45,-0.110565110565
19,2016-09,407,54,0.152974504249
20,2016-08,353,14,0.0412979351032
21,2016-07,339,-127,-0.272532188841
22,2016-06,466,149,0.470031545741
23,2016-05,317,-74,-0.18925831202
24,2016-04,391,-38,-0.0885780885781
25,2016-03,429,107,0.332298136646
26,2016-02,322,-61,-0.159268929504
27,2016-01,383,113,0.418518518519
28,2015-12,270,-40,-0.129032258065
29,2015-11,310,-6,-0.0189873417722
30,2015-10,316,-25,-0.0733137829912
31,2015-09,341,44,0.148148148148
32,2015-08,297,-78,-0.208
33,2015-07,375,108,0.404494382022
34,2015-06,267,-23,-0.0793103448276
35,2015-05,290,-43,-0.129129129129
36,2015-04,333,91,0.376033057851
37,2015-03,242,-50,-0.171232876712
38,2015-02,292,71,0.321266968326
39,2015-01,221,-60,-0.213523131673
40,2014-12,281,-201,-0.417012448133
41,2014-11,482,282,1.41
42,2014-10,200,28,0.162790697674
43,2014-09,172,-42,-0.196261682243
44,2014-08,214,39,0.222857142857
45,2014-07,175,-17,-0.0885416666667
46,2014-06,192,-3,-0.0153846153846
47,2014-05,195,24,0.140350877193
48,2014-04,171,-25,-0.127551020408
49,2014-03,196,39,0.248407643312
50,2014-02,157,6,0.0397350993377
51,2014-01,151,-10,-0.0621118012422
52,2013-12,161,2,0.0125786163522
53,2013-11,159,27,0.204545454545
54,2013-10,132,7,0.056
55,2013-09,125,-41,-0.246987951807
56,2013-08,166,5,0.0310559006211
57,2013-07,161,47,0.412280701754
58,2013-06,114,-44,-0.278481012658
59,2013-05,158,31,0.244094488189
60,2013-04,127,-22,-0.147651006711
61,2013-03,149,60,0.674157303371
62,2013-02,89,74,4.93333333333
63,2013-01,15,5,0.5
64,2012-12,10,0,0.0
65,2012-11,10,-11,-0.52380952381
66,2012-10,21,0,0.0
67,2012-09,21,0,0.0
68,2012-08,21,-59,-0.7375
69,2012-07,80,21,0.35593220339
70,2012-06,59,-5,-0.078125
71,2012-05,64,-3,-0.044776119403
72,2012-04,67,-7,-0.0945945945946
73,2012-03,74,-3,-0.038961038961
74,2012-02,77,21,0.375
75,2012-01,56,-10,-0.151515151515
76,2011-12,66,-4,-0.0571428571429
77,2011-11,70,7,0.111111111111
78,2011-10,63,-21,-0.25
79,2011-09,84,33,0.647058823529
80,2011-08,51,-12,-0.190476190476
81,2011-07,63,-9,-0.125
82,2011-06,72,9,0.142857142857
83,2011-05,63,-24,-0.275862068966
84,2011-04,87,-20,-0.18691588785
85,2011-03,107,38,0.550724637681
86,2011-02,69,-10,-0.126582278481
87,2011-01,79,-3,-0.0365853658537
88,2010-12,82,4,0.0512820512821
89,2010-11,78,-2,-0.025
90,2010-10,80,9,0.12676056338
91,2010-09,71,-19,-0.211111111111
92,2010-08,90,18,0.25
93,2010-07,72,1,0.0140845070423
94,2010-06,71,-18,-0.202247191011
95,2010-05,89,3,0.0348837209302
96,2010-04,86,14,0.194444444444
97,2010-03,72,11,0.180327868852
98,2010-02,61,12,0.244897959184
99,2010-01,49,20,0.689655172414
100,2009-12,29,-7,-0.194444444444
101,2009-11,36,-13,-0.265306122449
102,2009-10,49,22,0.814814814815
103,2009-09,27,-5,-0.15625
104,2009-08,32,1,0.0322580645161
105,2009-07,31,-6,-0.162162162162
106,2009-06,37,-4,-0.0975609756098
107,2009-05,41,-5,-0.108695652174
108,2009-04,46,2,0.0454545454545
109,2009-03,44,3,0.0731707317073
110,2009-02,41,16,0.64
111,2009-01,25,0,0.0
112,2008-12,25,2,0.0869565217391
113,2008-11,23,1,0.0454545454545
114,2008-10,22,1,0.047619047619
115,2008-09,21,2,0.105263157895
116,2008-08,19,-123,-0.866197183099
117,2008-07,142,0,0.0
