,date,nums,increment,ratio
0,2018-04,40,-53,-0.569892473118
1,2018-03,93,57,1.58333333333
2,2018-02,36,-36,-0.5
3,2018-01,72,-53,-0.424
4,2017-12,125,34,0.373626373626
5,2017-11,91,24,0.358208955224
6,2017-10,67,6,0.0983606557377
7,2017-09,61,-75,-0.551470588235
8,2017-08,136,28,0.259259259259
9,2017-07,108,21,0.241379310345
10,2017-06,87,24,0.380952380952
11,2017-05,63,8,0.145454545455
12,2017-04,55,-89,-0.618055555556
13,2017-03,144,81,1.28571428571
14,2017-02,63,13,0.26
15,2017-01,50,-43,-0.462365591398
16,2016-12,93,16,0.207792207792
17,2016-11,77,-26,-0.252427184466
18,2016-10,103,-44,-0.299319727891
19,2016-09,147,57,0.633333333333
20,2016-08,90,-74,-0.451219512195
21,2016-07,164,93,1.30985915493
22,2016-06,71,-58,-0.449612403101
23,2016-05,129,28,0.277227722772
24,2016-04,101,11,0.122222222222
25,2016-03,90,-8,-0.0816326530612
26,2016-02,98,4,0.0425531914894
27,2016-01,94,0,0.0
28,2015-12,94,19,0.253333333333
29,2015-11,75,-20,-0.210526315789
30,2015-10,95,47,0.979166666667
31,2015-09,48,-167,-0.776744186047
32,2015-08,215,42,0.242774566474
33,2015-07,173,18,0.116129032258
34,2015-06,155,-15,-0.0882352941176
35,2015-05,170,44,0.349206349206
36,2015-04,126,65,1.06557377049
37,2015-03,61,-61,-0.5
38,2015-02,122,75,1.59574468085
39,2015-01,47,-8,-0.145454545455
40,2014-12,55,-10,-0.153846153846
41,2014-11,65,23,0.547619047619
42,2014-10,42,7,0.2
43,2014-09,35,-166,-0.825870646766
44,2014-08,201,174,6.44444444444
45,2014-07,27,-88,-0.765217391304
46,2014-05,115,94,4.47619047619
47,2014-04,21,5,0.3125
48,2014-03,16,6,0.6
49,2014-02,10,-5,-0.333333333333
50,2014-01,15,0,0.0
51,2013-12,15,-8,-0.347826086957
52,2013-11,23,-20,-0.46511627907
53,2013-10,43,19,0.791666666667
54,2013-09,24,10,0.714285714286
55,2013-08,14,-20,-0.588235294118
56,2013-07,34,21,1.61538461538
57,2013-06,13,6,0.857142857143
58,2013-05,7,-9,-0.5625
59,2013-04,16,12,3.0
60,2013-03,4,-1,-0.2
61,2013-02,5,-3,-0.375
62,2013-01,8,-15,-0.652173913043
63,2012-12,23,18,3.6
64,2012-11,5,-34,-0.871794871795
65,2012-10,39,35,8.75
66,2012-09,4,0,0.0
67,2012-08,4,-1,-0.2
68,2012-07,5,0,0.0
69,2012-06,5,1,0.25
70,2012-05,4,3,3.0
71,2012-04,1,-3,-0.75
72,2012-03,4,3,3.0
73,2011-11,1,-51,-0.980769230769
74,2011-10,52,6,0.130434782609
75,2011-09,46,25,1.19047619048
76,2011-08,21,4,0.235294117647
77,2011-07,17,-19,-0.527777777778
78,2011-06,36,8,0.285714285714
79,2011-05,28,17,1.54545454545
80,2011-04,11,4,0.571428571429
81,2011-02,7,-2,-0.222222222222
82,2011-01,9,-22,-0.709677419355
83,2010-12,31,-26,-0.456140350877
84,2010-11,57,50,7.14285714286
85,2010-10,7,-2,-0.222222222222
86,2010-09,9,4,0.8
87,2010-07,5,-5,-0.5
88,2010-06,10,-1,-0.0909090909091
89,2010-05,11,6,1.2
90,2010-04,5,-8,-0.615384615385
91,2010-02,13,-11,-0.458333333333
92,2010-01,24,-9,-0.272727272727
93,2009-12,33,26,3.71428571429
94,2009-11,7,3,0.75
95,2009-10,4,-8,-0.666666666667
96,2009-09,12,-23,-0.657142857143
97,2009-08,35,25,2.5
98,2009-07,10,-15,-0.6
99,2009-06,25,6,0.315789473684
100,2009-05,19,-7,-0.269230769231
101,2009-04,26,9,0.529411764706
102,2009-03,17,12,2.4
103,2009-02,5,-6,-0.545454545455
104,2009-01,11,1,0.1
105,2008-12,10,-3,-0.230769230769
106,2008-11,13,-2,-0.133333333333
107,2008-10,15,-4,-0.210526315789
108,2008-09,19,-69,-0.784090909091
109,2008-08,88,79,8.77777777778
110,2008-07,9,0,0.0
