,date,nums,increment,ratio
0,2018-04,181,-78,-0.301158301158
1,2018-03,259,101,0.639240506329
2,2018-02,158,-63,-0.285067873303
3,2018-01,221,24,0.121827411168
4,2017-12,197,-23,-0.104545454545
5,2017-11,220,-25,-0.102040816327
6,2017-10,245,61,0.33152173913
7,2017-09,184,-33,-0.152073732719
8,2017-08,217,-9,-0.0398230088496
9,2017-07,226,5,0.0226244343891
10,2017-06,221,-2,-0.00896860986547
11,2017-05,223,38,0.205405405405
12,2017-04,185,-68,-0.268774703557
13,2017-03,253,65,0.345744680851
14,2017-02,188,9,0.0502793296089
15,2017-01,179,-25,-0.122549019608
16,2016-12,204,-8,-0.0377358490566
17,2016-11,212,26,0.139784946237
18,2016-10,186,-29,-0.13488372093
19,2016-09,215,-3,-0.0137614678899
20,2016-08,218,8,0.0380952380952
21,2016-07,210,64,0.438356164384
22,2016-06,146,-55,-0.273631840796
23,2016-05,201,69,0.522727272727
24,2016-04,132,-25,-0.15923566879
25,2016-03,157,30,0.236220472441
26,2016-02,127,-18,-0.124137931034
27,2016-01,145,-10,-0.0645161290323
28,2015-12,155,-9,-0.0548780487805
29,2015-11,164,43,0.355371900826
30,2015-10,121,9,0.0803571428571
31,2015-09,112,-12,-0.0967741935484
32,2015-08,124,-38,-0.234567901235
33,2015-07,162,53,0.48623853211
34,2015-06,109,-11,-0.0916666666667
35,2015-05,120,4,0.0344827586207
36,2015-04,116,13,0.126213592233
37,2015-03,103,47,0.839285714286
38,2015-02,56,-34,-0.377777777778
39,2015-01,90,28,0.451612903226
40,2014-12,62,-3,-0.0461538461538
41,2014-11,65,13,0.25
42,2014-10,52,5,0.106382978723
43,2014-09,47,43,10.75
44,2014-08,4,0,0.0
