,date,nums,increment,ratio
0,2018-05,1,-45,-0.978260869565
1,2018-04,46,-5,-0.0980392156863
2,2018-03,51,20,0.645161290323
3,2018-02,31,-35,-0.530303030303
4,2018-01,66,-1,-0.0149253731343
5,2017-12,67,-1,-0.0147058823529
6,2017-11,68,18,0.36
7,2017-10,50,9,0.219512195122
8,2017-09,41,-31,-0.430555555556
9,2017-08,72,14,0.241379310345
10,2017-07,58,7,0.137254901961
11,2017-06,51,7,0.159090909091
12,2017-05,44,1,0.0232558139535
13,2017-04,43,-37,-0.4625
14,2017-03,80,26,0.481481481481
15,2017-02,54,5,0.102040816327
16,2017-01,49,-16,-0.246153846154
17,2016-12,65,16,0.326530612245
18,2016-11,49,8,0.19512195122
19,2016-10,41,-39,-0.4875
20,2016-09,80,16,0.25
21,2016-08,64,-27,-0.296703296703
22,2016-07,91,41,0.82
23,2016-06,50,-38,-0.431818181818
24,2016-05,88,37,0.725490196078
25,2016-04,51,5,0.108695652174
26,2016-03,46,4,0.0952380952381
27,2016-02,42,-7,-0.142857142857
28,2016-01,49,11,0.289473684211
29,2015-12,38,-5,-0.116279069767
30,2015-11,43,3,0.075
31,2015-10,40,16,0.666666666667
32,2015-09,24,-51,-0.68
33,2015-08,75,4,0.056338028169
34,2015-07,71,7,0.109375
35,2015-06,64,-4,-0.0588235294118
36,2015-05,68,41,1.51851851852
37,2015-04,27,10,0.588235294118
38,2015-03,17,-6,-0.260869565217
39,2015-02,23,1,0.0454545454545
40,2015-01,22,4,0.222222222222
41,2014-12,18,-5,-0.217391304348
42,2014-11,23,12,1.09090909091
43,2014-10,11,-2,-0.153846153846
44,2014-09,13,9,2.25
45,2014-08,4,0,0.0
