,date,nums,increment,ratio
0,2018-04,1,-2,-0.666666666667
1,2018-03,3,0,0.0
2,2018-02,3,-4,-0.571428571429
3,2018-01,7,5,2.5
4,2017-12,2,-1,-0.333333333333
5,2017-11,3,-7,-0.7
6,2017-10,10,4,0.666666666667
7,2017-09,6,-1,-0.142857142857
8,2017-08,7,4,1.33333333333
9,2017-07,3,-1,-0.25
10,2017-06,4,-5,-0.555555555556
11,2017-04,9,8,8.0
12,2017-02,1,-1,-0.5
13,2017-01,2,-10,-0.833333333333
14,2016-12,12,-3,-0.2
15,2016-11,15,9,1.5
16,2016-10,6,-17,-0.739130434783
17,2016-09,23,19,4.75
18,2016-08,4,0,0.0
19,2016-06,4,-5,-0.555555555556
20,2016-05,9,-16,-0.64
21,2016-04,25,11,0.785714285714
22,2016-03,14,5,0.555555555556
23,2016-02,9,8,8.0
24,2016-01,1,-1,-0.5
25,2015-12,2,0,0.0
26,2015-11,2,-5,-0.714285714286
27,2015-09,7,-9,-0.5625
28,2015-07,16,15,15.0
29,2015-06,1,0,0.0
30,2015-05,1,-7,-0.875
31,2015-04,8,0,0.0
32,2015-03,8,-1,-0.111111111111
33,2015-02,9,4,0.8
34,2015-01,5,3,1.5
35,2014-12,2,1,1.0
36,2014-11,1,-10,-0.909090909091
37,2014-10,11,9,4.5
38,2014-09,2,-3,-0.6
39,2014-08,5,2,0.666666666667
40,2014-07,3,1,0.5
41,2014-06,2,-3,-0.6
42,2014-04,5,4,4.0
43,2014-03,1,0,0.0
