,date,nums,increment,ratio
0,2018-04,346,-58,-0.143564356436
1,2018-03,404,33,0.088948787062
2,2018-02,371,-34,-0.083950617284
3,2018-01,405,-135,-0.25
4,2017-12,540,234,0.764705882353
5,2017-11,306,-143,-0.318485523385
6,2017-10,449,103,0.297687861272
7,2017-09,346,81,0.305660377358
8,2017-08,265,152,1.34513274336
9,2017-07,113,-147,-0.565384615385
10,2017-06,260,37,0.165919282511
11,2017-05,223,35,0.186170212766
12,2017-04,188,-5,-0.0259067357513
13,2017-03,193,5,0.0265957446809
14,2017-02,188,-41,-0.17903930131
15,2017-01,229,-56,-0.19649122807
16,2016-12,285,-91,-0.242021276596
17,2016-11,376,118,0.457364341085
18,2016-10,258,-43,-0.142857142857
19,2016-09,301,85,0.393518518519
20,2016-08,216,56,0.35
21,2016-07,160,-206,-0.562841530055
22,2016-06,366,7,0.0194986072423
23,2016-05,359,0,0.0
24,2016-04,359,-130,-0.265848670757
25,2016-03,489,-78,-0.137566137566
26,2016-02,567,158,0.38630806846
27,2016-01,409,82,0.250764525994
28,2015-12,327,103,0.459821428571
29,2015-11,224,16,0.0769230769231
30,2015-10,208,-80,-0.277777777778
31,2015-09,288,44,0.180327868852
32,2015-08,244,87,0.554140127389
33,2015-07,157,-4,-0.0248447204969
34,2015-06,161,5,0.0320512820513
35,2015-05,156,-118,-0.430656934307
36,2015-04,274,-45,-0.141065830721
37,2015-03,319,61,0.236434108527
38,2015-02,258,12,0.0487804878049
39,2015-01,246,133,1.17699115044
40,2014-12,113,-19,-0.143939393939
41,2014-11,132,4,0.03125
42,2014-10,128,-86,-0.401869158879
43,2014-09,214,-34,-0.137096774194
44,2014-08,248,160,1.81818181818
45,2014-07,88,-21,-0.192660550459
46,2014-06,109,37,0.513888888889
47,2014-05,72,-17,-0.191011235955
48,2014-04,89,-7,-0.0729166666667
49,2014-03,96,-45,-0.31914893617
50,2014-02,141,40,0.39603960396
51,2014-01,101,-48,-0.322147651007
52,2013-12,149,107,2.54761904762
53,2013-11,42,-34,-0.447368421053
54,2013-10,76,-38,-0.333333333333
55,2013-09,114,-13,-0.102362204724
56,2013-08,127,13,0.114035087719
57,2013-07,114,101,7.76923076923
58,2013-06,13,-65,-0.833333333333
59,2013-05,78,-33,-0.297297297297
60,2013-04,111,71,1.775
61,2013-03,40,-19,-0.322033898305
62,2013-02,59,49,4.9
63,2013-01,10,0,0.0
