,date,nums,increment,ratio
0,2018-04,115,-10,-0.08
1,2018-03,125,31,0.329787234043
2,2018-02,94,-17,-0.153153153153
3,2018-01,111,-2,-0.0176991150442
4,2017-12,113,-16,-0.124031007752
5,2017-11,129,18,0.162162162162
6,2017-10,111,6,0.0571428571429
7,2017-09,105,4,0.039603960396
8,2017-08,101,0,0.0
9,2017-07,101,9,0.0978260869565
10,2017-06,92,-21,-0.185840707965
11,2017-05,113,7,0.0660377358491
12,2017-04,106,-19,-0.152
13,2017-03,125,27,0.275510204082
14,2017-02,98,5,0.0537634408602
15,2017-01,93,-22,-0.191304347826
16,2016-12,115,20,0.210526315789
17,2016-11,95,6,0.0674157303371
18,2016-10,89,7,0.0853658536585
19,2016-09,82,-4,-0.046511627907
20,2016-08,86,14,0.194444444444
21,2016-07,72,0,0.0
22,2016-06,72,-9,-0.111111111111
23,2016-05,81,9,0.125
24,2016-04,72,9,0.142857142857
25,2016-03,63,4,0.0677966101695
26,2016-02,59,4,0.0727272727273
27,2016-01,55,2,0.0377358490566
28,2015-12,53,-4,-0.0701754385965
29,2015-11,57,8,0.163265306122
30,2015-10,49,3,0.0652173913043
31,2015-09,46,7,0.179487179487
32,2015-08,39,-10,-0.204081632653
33,2015-07,49,2,0.0425531914894
34,2015-06,47,12,0.342857142857
35,2015-05,35,-9,-0.204545454545
36,2015-04,44,2,0.047619047619
37,2015-03,42,8,0.235294117647
38,2015-02,34,-4,-0.105263157895
39,2015-01,38,3,0.0857142857143
40,2014-12,35,9,0.346153846154
41,2014-11,26,-17,-0.395348837209
42,2014-10,43,7,0.194444444444
43,2014-09,36,-12,-0.25
44,2014-08,48,25,1.08695652174
45,2014-07,23,-7,-0.233333333333
46,2014-06,30,-1,-0.0322580645161
47,2014-05,31,13,0.722222222222
48,2014-04,18,-14,-0.4375
49,2014-03,32,-2,-0.0588235294118
50,2014-02,34,0,0.0
51,2014-01,34,0,0.0
